,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Fernando's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Caixa Negra,"Oz, Amos",9722048805,9789722048804,9722048805,281        pp,3.89,"3,850",1986,Jan 2012,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 11, 2024",not set,"Apr 11, 2024",,Paperback,view,/book/show/16044364-a-caixa-negra
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Batalha Incerta,"Steinbeck, John",9723829657,9789723829655,9723829657,328        pp,3.92,"14,426",1936,Aug 2016,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Paperback,view,/book/show/38105411-batalha-incerta
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Under Western Eyes,"Conrad, Joseph",014018287X,9780140182873,014018287X,352        pp,3.70,"3,222",1911,"Sep 01, 1990",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2024",,Paperback,view,/book/show/1737985.Under_Western_Eyes
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Águas da Primavera,"Turgenev, Ivan",9896411794,9789896411794,9896411794,151        pp,3.95,"4,989",1872,Sep 2010,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Paperback,view,/book/show/13389756-guas-da-primavera
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Old God's Time,"Barry, Sebastian",0593296109,9780593296103,0593296109,261        pp,3.88,"11,076","Mar 01, 2023","Mar 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Hardcover,view,/book/show/61358640-old-god-s-time
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Sul de Nenhum Norte,"Bukowski, Charles",9896651485,9789896651480,9896651485,264        pp,3.88,"9,783",1973,Nov 2016,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Paperback,view,/book/show/33023855-a-sul-de-nenhum-norte
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Maus hábitos,"Portero, Alana S.",9897878084,9789897878084,B0CTKTPNQK,248        pp,4.55,"6,393","May 03, 2023","Feb 19, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Mar 29, 2024","Mar 29, 2024","Mar 11, 2024",,Kindle Edition,view,/book/show/206284577-maus-h-bitos
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,O Evangelho do Novo Mundo,"Condé, Maryse",9897112235,9789897112232,9897112235,256        pp,3.02,609,2021,"Feb 08, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 16, 2024","Mar 19, 2024","Mar 09, 2024",,Paperback,view,/book/show/206011159-o-evangelho-do-novo-mundo
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vemo-nos em Agosto,"García Márquez, Gabriel",9722081012,9789722081016,9722081012,116        pp,3.78,"7,234","Mar 06, 2024","Mar 06, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Mar 12, 2024","Mar 13, 2024","Mar 06, 2024",,Paperback,view,/book/show/208877274-vemo-nos-em-agosto
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,O Pequeno Amigo,"Tartt, Donna",9722372912,9789722372916,,584        pp,3.47,"69,749","Oct 22, 2002",Feb 2024,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 03, 2024","Mar 12, 2024","Mar 03, 2024",,Paperback,view,/book/show/205687969-o-pequeno-amigo
