,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Sarah Jessica's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bee Sting,"Murray, Paul",0374600309,9780374600303,0374600309,656        pp,4.01,"32,147","Jun 08, 2023","Aug 15, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,1,249,1,not set,not set,"Dec 11, 2023",,Hardcover,view,/book/show/62039166-the-bee-sting
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,So Late in the Day: Stories of Women and Men,"Keegan, Claire",0802160859,9780802160850,,128        pp,4.03,"10,996","Feb 22, 2022","Nov 14, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,2,119,1,not set,not set,"Dec 11, 2023",,Hardcover,view,/book/show/126262032-so-late-in-the-day
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fraud,"Smith, Zadie",0525558969,9780525558965,0525558969,464        pp,3.35,"17,321","Sep 05, 2023","Sep 05, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,1,106,1,not set,not set,"Dec 11, 2023",,Hardcover,view,/book/show/66086834-the-fraud
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Summary of The Splendid and the Vile by Erik Larson,"Reads, Genius",,,B086YV8H7P,unknown,4.12,34,unknown,"Apr 09, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,3,53,1,not set,not set,"Dec 11, 2023",,Kindle Edition,view,/book/show/53510611-summary-of-the-splendid-and-the-vile-by-erik-larson
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Close to Home,"Magee, Michael",0374608326,9780374608323,0374608326,288        pp,4.11,"3,047","Apr 06, 2023","May 16, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,54,0,not set,not set,"Dec 11, 2023",,Hardcover,view,/book/show/62039294-close-to-home
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Must Not Think of Ourselves,"Grodstein, Lauren*",1643752340,9781643752341,1643752340,304        pp,4.14,"6,949",unknown,"Nov 28, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,73,1,"Dec 11, 2023","Dec 11, 2023","Dec 11, 2023",,Hardcover,view,/book/show/64005941-we-must-not-think-of-ourselves
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Road to the City,"Ginzburg, Natalia",0517138131,9780517138137,0517138131,unknown,3.73,"1,875",1942,"May 01, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,1,45,1,not set,not set,"Dec 11, 2023",,Paperback,view,/book/show/111558.The_Road_to_the_City
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wandering Stars,"Orange, Tommy*",0593318250,9780593318256,0593318250,336        pp,4.01,"4,963","Feb 27, 2024","Feb 27, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,14,1,not set,not set,"Dec 11, 2023",,Hardcover,view,/book/show/174147294-wandering-stars
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Soulmate,"Hepworth, Sally*",1250229707,9781250229700,1250229707,327        pp,3.81,"120,013","Oct 25, 2022","Apr 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 03, 2023",,Hardcover,view,/book/show/60784540-the-soulmate
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Trespasses,"Kennedy, Louise",0593540891,9780593540893,0593540891,304        pp,4.02,"33,145","Apr 14, 2022","Nov 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 03, 2023",,Hardcover,view,/book/show/60417483-trespasses
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Red Hotel: Moscow 1941, the Metropol Hotel, and the Untold Story of Stalin's Propaganda War","Philps, Alan",1639364277,9781639364275,1639364277,464        pp,3.69,182,unknown,"Jul 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 03, 2023",,Hardcover,view,/book/show/62919015-the-red-hotel
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Anniversary,"Bishop, Stephanie",0802161677,9780802161673,,432        pp,3.11,"1,441","Mar 29, 2023","Jul 18, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 03, 2023",,Paperback,view,/book/show/64667865-the-anniversary
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Centre,"Siddiqi, Ayesha Manazir",,9781638930549,,288        pp,3.42,"9,023","Jul 11, 2023","Jul 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 03, 2023",,Hardcover,view,/book/show/68005500-the-centre
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Coleman Hill,"Foote, Kim Coleman*",1638931143,9781638931140,1638931143,320        pp,3.83,905,"Sep 05, 2023","Sep 05, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I’m thrilled to publish Kim Coleman Foote’s remarkable debut, Coleman Hill. A work of fiction inspired by and interwoven with family history, Kim’s boI’m thrilled to publish Kim Coleman Foote’s remarkable debut, Coleman Hill. A work of fiction inspired by and interwoven with family history, Kim’s book is a stunning biomythography—a term coined by Audre Lorde for a work that draws from multiple sources to create a modern myth, a new history. In doing so, Coleman Hill delivers a tapestried story—at once intimate and panoramic—of the interweaving of two families across three generations and through eight decades of American history....more",Notes are private!,2,300,1,not set,not set,"Jun 09, 2023",,Hardcover,view (with text),/book/show/129527470-coleman-hill
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Rogues: True Stories of Grifters, Killers, Rebels and Crooks","Keefe, Patrick Radden",0385548516,9780385548519,0385548516,368        pp,4.01,"15,165","Jun 28, 2022","Jun 28, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 09, 2023",,Hardcover,view,/book/show/59148726-rogues
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hurricane Girl,"Dermansky, Marcy*",0593320883,9780593320884,0593320883,240        pp,3.66,"5,264","Jun 14, 2022","Jun 14, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 09, 2023",,Hardcover,view,/book/show/58065398-hurricane-girl
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Midcoast,"White, Adam*",0593243153,9780593243152,0593243153,336        pp,3.52,"9,515","Jun 07, 2022","Jun 07, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Jun 09, 2023",,Hardcover,view,/book/show/58988394-the-midcoast
