,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Erica's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lazarus City        (Lazarus City, #1)","Lewis, Melisa Peterson*",,,B09M5B6HSS,306        pp,4.33,54,unknown,Nov 2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2022",,Paperback,view,/book/show/59707142-lazarus-city
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Spontaneous Human Combustion,"Thomas, Richard*",1684427541,9781684427543,1684427541,248        pp,3.66,367,"Feb 22, 2022","Feb 22, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 15, 2021",,Paperback,view,/book/show/58652316-spontaneous-human-combustion
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Silent Sisters,"Lee, Joanne",1912624311,9781912624317,B07Q1C6V7R,205        pp,4.15,"5,071","Apr 18, 2019","Apr 18, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 01, 2021",,Kindle Edition,view,/book/show/44589173-silent-sisters
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Since We Fell,"Lehane, Dennis*",0062129384,9780062129383,0062129384,419        pp,3.62,"37,439","May 09, 2017","May 09, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 30, 2021",,Hardcover,view,/book/show/31751571-since-we-fell
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ninth House        (Alex Stern, #1)","Bardugo, Leigh*",1250313074,9781250313072,1250313074,461        pp,4.03,"305,622","Oct 08, 2019","Oct 08, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2021",,Hardcover,view,/book/show/43263680-ninth-house
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Untamed,"Doyle, Glennon*",1984801252,9781984801258,1984801252,333        pp,3.99,"439,835","Mar 10, 2020","Mar 10, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2021",,Hardcover,view,/book/show/52129515-untamed
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Devolution: A Firsthand Account of the Rainier Sasquatch Massacre,"Brooks, Max*",1984826786,9781984826787,1984826786,286        pp,3.91,"47,088","Jun 16, 2020","Jun 16, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 08, 2021","Apr 30, 2021","Mar 08, 2021",,Hardcover,view,/book/show/52454426-devolution
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Junie B., First Grader: Cheater Pants        (Junie B. Jones, #21)","Park, Barbara",,,B001V7U6Y6,88        pp,4.06,"8,655","Jan 01, 2001",unknown,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Mar 08, 2021",,Kindle Edition,view,/book/show/6623903-junie-b-first-grader
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Junie B., First Grader: Jingle Bells, Batman Smells! (P.S. So Does May.)        (P.S. So Does May.) (Junie B. Jones, #25)","Park, Barbara",,,B001LOEG3Q,118        pp,4.18,"5,317","Sep 27, 2005",unknown,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 08, 2021",,Kindle Edition,view,/book/show/6623946-junie-b-first-grader
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Junie B., First Grader: Turkeys We Have Loved and Eaten (and Other Thankful Stuff)        (and Other Thankful Stuff) (Junie B. Jones, #28)","Park, Barbara",0449014584,9780449014585,0449014584,0        pp,4.24,"2,288","Jan 01, 2012","Aug 07, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2021",,Audio CD,view,/book/show/13330545-junie-b-first-grader
