,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Emily M's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lady Chatterley's Lover,"Lawrence, D.H.",014303961X,9780143039617,014303961X,400        pp,3.50,"125,614",1928,Dec 2019,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I had been meaning to read Lady Chatterley for awhile and had never made my way around to it. I'm glad to have finally gotten through it, but I can't I had been meaning to read Lady Chatterley for awhile and had never made my way around to it. I'm glad to have finally gotten through it, but I can't say that I enjoyed it much. I respect its unabashed harrowing of the body and the ""cunt"" (!), but I found all of the characters wholly unlikeable, and pretty annoying. Merged :I had been meaning to read Lady Chatterley for awhile and had never made my way around to it. I'm glad to have finally gotten through it, but I can't say that I enjoyed it much. I respect its unabashed harrowing of the body and the ""cunt"" (!), but I found all of the characters wholly unlikeable, and pretty annoying....more",Notes are private!,0,1,3,"Jan 29, 2013not setnot set","Jan 31, 2013not setnot set","Oct 18, 2023",,Paperback,view (with text),/book/show/49583709-lady-chatterley-s-lover
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Book Lovers,"Henry, Emily*",,,0593440870,377        pp,4.14,"1,049,675","May 03, 2022","May 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 17, 2023",,Hardcover,view,/book/show/58690308-book-lovers
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Truly Madly Guilty,"Moriarty, Liane*",,,B015MR0UJG,517        pp,3.59,"294,065","Jul 26, 2016","Jul 26, 2016",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 20, 2023",,Kindle Edition,view,/book/show/27831371-truly-madly-guilty
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Guest List,"Foley, Lucy",,,B07WG8L7WC,319        pp,3.82,"995,812","Feb 20, 2020","Jun 02, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 17, 2023",,Kindle Edition,view,/book/show/52656911-the-guest-list
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Women with Attention Deficit Disorder: Embrace Your Differences and Transform Your Life,"Solden, Sari*",1887424970,9781887424974,1887424970,304        pp,4.24,"1,697","Oct 01, 1995","Nov 29, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 13, 2022",,Paperback,view,/book/show/211483.Women_with_Attention_Deficit_Disorder
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Emotionally Absent Mother: A Guide to Self-Healing and Getting the Love You Missed,"Cori, Jasmin Lee",1615190287,9781615190287,1615190287,240        pp,4.19,"2,978",Sep 2010,"Sep 14, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 13, 2022","Jun 17, 2023","Jul 13, 2022",,Paperback,view,/book/show/9268619-the-emotionally-absent-mother
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Moviegoer,"Percy, Walker",0375701966,9780375701962,0375701966,242        pp,3.65,"28,753",1960,"Apr 08, 1998",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 09, 2022","Apr 10, 2022","Apr 09, 2022",,Paperback,view,/book/show/10739.The_Moviegoer
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vicar of Wakefield,"Goldsmith, Oliver",0192805126,9780192805126,0192805126,197        pp,3.46,"10,160",1766,"Jun 15, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2006","Apr 07, 2022",,Paperback,view,/book/show/112510.The_Vicar_of_Wakefield
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Modest Proposal and Other Satirical Works,"Swift, Jonathan",0486287599,9780486287591,0486287599,64        pp,4.05,"14,407",1729,"Feb 02, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2006","Apr 07, 2022",,Paperback,view,/book/show/2677.A_Modest_Proposal_and_Other_Satirical_Works
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Legend of Sleepy Hollow,"Irving, Washington",0809594080,9780809594085,0809594080,108        pp,3.71,"79,503",1820,"Mar 01, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Apr 07, 2006","Apr 07, 2022",,Paperback,view,/book/show/93261.The_Legend_of_Sleepy_Hollow
