,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Celia's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lost Bookshop,"Woods, Evie*",,,B0BMF2M8Z6,444        pp,4.16,"66,874","Jan 24, 2024","Jun 22, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Kindle Edition,view,/book/show/65137920-the-lost-bookshop
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,An Unfinished Love Story: A Personal History of the 1960s,"Goodwin, Doris Kearns",1982108665,9781982108663,1982108665,480        pp,4.50,12,2024,"Apr 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Hardcover,view,/book/show/196585876-an-unfinished-love-story
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All We Were Promised,"Lattimore, Ashton*",0593600169,9780593600160,B0C9Y2KX1P,359        pp,4.20,395,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Kindle Edition,view,/book/show/182510519-all-we-were-promised
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Cheerfully Refuse,"Enger, Leif",0802162932,9780802162939,0802162932,336        pp,4.18,320,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Hardcover,view,/book/show/198276006-i-cheerfully-refuse
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heart Mender: A Story of Second Chances,"Andrews, Andy*",,,B003G83TPQ,253        pp,4.32,"5,629","Jan 01, 2005","Apr 09, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Kindle Edition,view,/book/show/40644519-the-heart-mender
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,After Annie,"Quindlen, Anna",0593229819,9780593229811,B0C7TXZ8ZL,273        pp,4.16,"7,607","Feb 27, 2024","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Kindle Edition,view,/book/show/177185887-after-annie
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Princess of Las Vegas,"Bohjalian, Chris*",0385547617,9780385547611,B0C9H87C87,400        pp,3.63,"2,126","Mar 26, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Kindle Edition,view,/book/show/181347534-the-princess-of-las-vegas
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dead of Winter        (Aspen Falls #1),"Pearl, Melissa*",,,B07BJ4JZY5,320        pp,4.09,"1,103","Mar 16, 2018","Mar 16, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 28, 2024",not set,"Mar 28, 2024",,Kindle Edition,view,/book/show/45285738-dead-of-winter
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mauprat,"Sand, George",1406800333,9781406800333,1406800333,unknown,3.64,635,1837,"Jun 12, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Paperback,view,/book/show/919987.Mauprat
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Between Two Kingdoms: A Memoir of a Life Interrupted,"Jaouad, Suleika*",0399588582,9780399588587,0399588582,352        pp,4.43,"88,831","Feb 09, 2021","Feb 09, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Hardcover,view,/book/show/50743767-between-two-kingdoms
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lady Tan's Circle of Women,"See, Lisa*",,,B0BHTPR5BK,343        pp,4.37,"83,854","Jun 06, 2023","Jun 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Kindle Edition,view,/book/show/62969999-lady-tan-s-circle-of-women
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,33 Days to Eucharistic Glory,"Kelly, Matthew*",,,B0CP9SB6CP,203        pp,4.74,266,unknown,"Nov 30, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Kindle Edition,view,/book/show/203045795-33-days-to-eucharistic-glory
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Glory Over Everything: Beyond The Kitchen House,"Grissom, Kathleen*",1476748446,9781476748443,1476748446,365        pp,4.29,"38,429","Apr 05, 2016","Apr 05, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Hardcover,view,/book/show/25813937-glory-over-everything
