,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Ralu's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crossroads,"Franzen, Jonathan",0374181179,9780374181178,0374181179,592        pp,4.06,"56,508","Oct 05, 2021","Oct 05, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 14, 2024",not set,"Mar 14, 2024",,Hardcover,view,/book/show/55881796-crossroads
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Livada de peri,"Ekvtimishvili, Nana",,9786069003428,,168        pp,3.71,"1,579","May 11, 2015",2023,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 14, 2024","Mar 14, 2024","Mar 14, 2024",,Paperback,view,/book/show/204994800-livada-de-peri
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ultima familie tradițională,"Dósa, Andrei",6306589104,9786306589104,6306589104,100        pp,4.19,37,unknown,2024,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Mar 14, 2024","Mar 14, 2024","Mar 14, 2024",,Paperback,view,/book/show/209170826-ultima-familie-tradi-ional
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Aici mă regăsesc,"Lahiri, Jhumpa",6064307110,9786064307118,6064307110,144        pp,3.77,"29,421","Aug 30, 2018","Jan 01, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 14, 2024","Mar 14, 2024","Mar 14, 2024",,Paperback,view,/book/show/199234844-aici-m-reg-sesc
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Origines,"Stanišić, Saša*",,,B08SWF53CB,414        pp,4.16,"10,015","Mar 17, 2019","Feb 03, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,4ish,Notes are private!,0,2,1,"Mar 14, 2024","Mar 14, 2024","Jan 14, 2024",,Kindle Edition,view (with text),/book/show/58493388-origines
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nu mai e nimeni acasă,"Yamamoto, Sabina",,9786069802335,,260        pp,3.89,66,unknown,"Nov 15, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 14, 2024","Feb 03, 2024","Jan 14, 2024",,Paperback,view,/book/show/202680341-nu-mai-e-nimeni-acas
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stela,"Goșu, Simona",,9789734696390,,248        pp,3.86,191,unknown,2023,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Jan 07, 2024","Jan 14, 2024","Jan 07, 2024",,Paperback,view,/book/show/202312153-stela
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Un cal intră într-un bar,"Grossman, David",9734655280,9789734655281,9734655280,200        pp,3.52,"14,466",Aug 2014,Jun 2015,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Jan 07, 2024","Jan 07, 2024","Jan 07, 2024",,Paperback,view,/book/show/25753639-un-cal-intr-ntr-un-bar
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ce rost are să mai citim literatură?,"Cordos, Sanda",9738119863,9789738119864,,72        pp,4.00,1,2004,2004,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 10, 2023","Nov 11, 2023","Jan 03, 2024",,Paperback,view,/book/show/61222530-ce-rost-are-s-mai-citim-literatur
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Small Things Like These,"Keegan, Claire",0802158749,9780802158741,0802158749,128        pp,4.19,"153,383","Nov 05, 2021","Nov 30, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3,5",Notes are private!,0,4,1,"Dec 31, 2023","Dec 31, 2023","Dec 31, 2023",,Hardcover,view (with text),/book/show/58662236-small-things-like-these
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On Women,"Sontag, Susan",1250876850,9781250876850,1250876850,208        pp,3.65,996,"May 30, 2023","May 30, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 23, 2023","Dec 23, 2023","Dec 23, 2023",,Paperback,view,/book/show/60827532-on-women
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Îndrăgostirile,"Marías, Javier",,9786068631752,6068631753,304        pp,3.55,"12,211",2011,Nov 2015,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Dec 18, 2023","Jan 03, 2024","Dec 18, 2023",,Paperback,view,/book/show/29092180-ndr-gostirile
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Toată dragostea dintr-o fotografie arsă,"Orban, Maria*",,9786064316844,,92        pp,4.04,288,unknown,Oct 2023,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3,5",Notes are private!,0,4,1,"Dec 18, 2023","Dec 18, 2023","Dec 18, 2023",,Paperback,view (with text),/book/show/201022655-toat-dragostea-dintr-o-fotografie-ars
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Prințul negru,"Murdoch, Iris",,,,624        pp,3.95,"6,011",1973,"Jan 01, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Dec 18, 2023","Dec 18, 2023","Dec 18, 2023",,,view,/book/show/50724532-prin-ul-negru
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Apa lacului nu e niciodata dulce,"Caminito, Giulia",,,,296        pp,3.78,"8,099","Jan 13, 2021",2023,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 18, 2023","Dec 18, 2023","Dec 18, 2023",,,view,/book/show/167563107-apa-lacului-nu-e-niciodata-dulce
