,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Elaine's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bride,"Hazelwood, Ali*",,,B0C9GQV1TT,410        pp,4.11,"180,192","Feb 06, 2024","Feb 06, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Apr 10, 2024","Apr 10, 2024",,Kindle Edition,view,/book/show/181344829-bride
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Great Alone,"Hannah, Kristin*",,,B06Y5WRS2C,450        pp,4.42,"784,279","Feb 06, 2018",Feb 2020,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Apr 06, 2024","Apr 06, 2024",,Kindle Edition,view,/book/show/51851615-the-great-alone
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,"Grann, David*",,,B01CWZFBZ4,347        pp,4.15,"340,062","Apr 18, 2017",Nov 2023,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Apr 05, 2024","Apr 05, 2024",,Kindle Edition,view,/book/show/201736852-killers-of-the-flower-moon
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chronicles of Elantra Vol 1        (Chronicles of Elantra #0.5-2),"Sagara, Michelle",,,B01BSFQONM,"1,035        pp",4.44,147,"Jun 13, 2016","Jun 13, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 19, 2024","Mar 26, 2024","Mar 19, 2024",,Kindle Edition,view,/book/show/30646379-chronicles-of-elantra-vol-1
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Five Wishes of Mr. Murray McBride,"Siple, Joe*",,,B07B8H8ZVW,234        pp,4.64,"22,442","May 11, 2018","May 17, 2018",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Mar 13, 2024","Mar 13, 2024",,Kindle Edition,view,/book/show/39665277-the-five-wishes-of-mr-murray-mcbride
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Happy Place,"Henry, Emily*",,,B0B7L29TB7,395        pp,4.02,"783,928","Apr 25, 2023","Apr 25, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 09, 2024","Mar 11, 2024","Mar 09, 2024",,Kindle Edition,view,/book/show/61761938-happy-place
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Loot,"James, Tania*",,,B0BF8WZ4VL,304        pp,3.83,"4,260","Jun 13, 2023","Jun 13, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Mar 06, 2024","Mar 06, 2024",,Kindle Edition,view,/book/show/63836365-loot
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Where the Forest Meets the Stars,"Vanderah, Glendy",1503959910,9781503959910,B07CWSPSMX,333        pp,4.14,"191,812","Mar 01, 2019","Mar 01, 2019",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Mar 04, 2024","Mar 04, 2024",,Kindle Edition,view,/book/show/41818297-where-the-forest-meets-the-stars
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Exchange        (The Firm, #2)","Grisham, John*",0385548966,9780385548960,B0BYHPHG1L,352        pp,3.71,"61,359","Oct 17, 2023","Oct 17, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Feb 17, 2024","Feb 17, 2024",,Kindle Edition,view,/book/show/124025550-the-exchange
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Covenant of Water,"Verghese, Abraham*",0802162185,,B0BJSGV831,775        pp,4.47,"150,446","May 02, 2023","May 02, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 15, 2024","Feb 27, 2024","Feb 15, 2024",,Kindle Edition,view,/book/show/63429926-the-covenant-of-water
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Daisy Haites        (The Magnolia Parks Universe Book 2),"Hastings, Jessa*",0593474899,9780593474891,B0C6NMBN7H,507        pp,4.15,"52,174","Nov 23, 2021","Nov 22, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Feb 15, 2024","Feb 15, 2024",,Kindle Edition,view,/book/show/168437435-daisy-haites
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tom Lake,"Patchett, Ann",,,B0BL126WSH,352        pp,4.04,"241,506","Aug 01, 2023","Aug 01, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 08, 2024","Feb 10, 2024","Feb 08, 2024",,Kindle Edition,view,/book/show/63256933-tom-lake
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The It Girl,"Ware, Ruth*",,,B09JPJMS5X,432        pp,3.86,"234,502","Jul 12, 2022","Jul 12, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Feb 08, 2024","Feb 08, 2024",,Kindle Edition,view,/book/show/59361848-the-it-girl
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Evidence of the Affair,"Reid, Taylor Jenkins*",1542044510,9781542044516,B07GN867XT,88        pp,3.88,"150,693","Sep 20, 2018","Sep 20, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Feb 03, 2024","Feb 03, 2024",,Kindle Edition,view,/book/show/41715227-evidence-of-the-affair
