,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Sara's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dok nas smrt ne rastavi,"Chaney, JoAnn*",,9789533601113,,361        pp,3.68,"6,142",2018,May 2020,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Dec 28, 2023",,Paperback,view,/book/show/53734893-dok-nas-smrt-ne-rastavi
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pod kupolom: II. dio,"King, Stephen*",,9789538230028,,472        pp,4.08,"3,534","Nov 10, 2009",2018,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jun 06, 2022","Dec 28, 2023","Jun 06, 2022",,Paperback,view,/book/show/41732803-pod-kupolom
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pod kupolom: I. dio,"King, Stephen*",,9789538230011,,412        pp,4.05,"10,846",Nov 2009,2018,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Više od 500 stranica, a tek prvi dio romana... zaista ste se raspisali gospodine King, stvorili toliko likova i zapleta, toliko događaja u nekoliko daViše od 500 stranica, a tek prvi dio romana... zaista ste se raspisali gospodine King, stvorili toliko likova i zapleta, toliko događaja u nekoliko dana... možda bi prije nekoliko godina mislila da su ljudi poludjeli suviše rano, nema šanse da se skoro cijeli grad počne tako ponašati u samo par dana, ali hej, svi smo vidjeli mahnito kupovanje i paniku što za vrijeme korone, što zbog novonastale situacije u Ukrajini. Ljudima zaista treba jako malo da siđu sa tračnica....more",Notes are private!,0,3,1,"Jun 06, 2022","Jun 29, 2022","Jun 06, 2022",,Paperback,view (with text),/book/show/41732790-pod-kupolom
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fantastični Planet,"Wul, Stefan",,9789538048821,,181        pp,3.64,305,1957,2019,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Sjajan SF roman koji sam pročitala u jedno poslijepodne. Ljudi kao kućni ljubimci drugim bićima, na drugom planetu , na koji su ih doveli. Ljudi koji Sjajan SF roman koji sam pročitala u jedno poslijepodne. Ljudi kao kućni ljubimci drugim bićima, na drugom planetu , na koji su ih doveli. Ljudi koji kao i ljubimci nose ogrlice oko vrata, smatraju ih manje inteligentnima, tek bićima koja služe za zabavu. Preporuka i za animirani film , nastao prema ovom romanu. ...more",Notes are private!,0,5,1,"May 31, 2022","Jun 06, 2022","May 31, 2022",,Paperback,view (with text),/book/show/58284613-fantasti-ni-planet
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kolijevka za macu,"Vonnegut, Kurt, Jr.",9533001410,9789533001418,9533001410,279        pp,4.16,"402,899",1963,Jan 2010,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""Četrnaesta knjiga nosi naslov: ""Čemu može da se nada za ljudski rod na Zemlji razuman čovjek, imajući u vidu iskustvo proteklih milijun godina?""Ne tr""Četrnaesta knjiga nosi naslov: ""Čemu može da se nada za ljudski rod na Zemlji razuman čovjek, imajući u vidu iskustvo proteklih milijun godina?""Ne traje dugo dok se pročita Četrnaesta knjiga. Ona se sastoji od jedne riječi i točke.Evo je""Ničemu.""...more",Notes are private!,0,6,1,"Apr 22, 2022","Apr 26, 2022","Apr 22, 2022",,Paperback,view (with text),/book/show/8324527-kolijevka-za-macu
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vrijeme ubijanja,"Grisham, John*",,9789533165226,,482        pp,4.11,"801,172",1989,Aug 2012,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Vrlo dobar triler, koji propitkuje pravosudni sustav Amerike, rasizam, silovanje kao i uzimanje pravde u svoje ruke. Ne događa se često da me ovakav tVrlo dobar triler, koji propitkuje pravosudni sustav Amerike, rasizam, silovanje kao i uzimanje pravde u svoje ruke. Ne događa se često da me ovakav tip romana natjera na razmišljanje, ali John Grisham je to uspio. Što bi svatko od nas učinio da je na mjestu oca? Što bi odlučio da je u koži jednog od porotnika?...more",Notes are private!,0,3,1,"Mar 29, 2022","Jun 02, 2022","Mar 29, 2022",,Mass Market Paperback,view (with text),/book/show/16001947-vrijeme-ubijanja
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Za poduku, ako bude sreće","Chambers, Becky*",,9789538048982,,176        pp,4.20,"43,384","Aug 08, 2019",2021,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ovaj roman sadrži sve elemente dobrog , pametnog i modernog SF-a, a uz to postavlja i razna pitanja vezana za moral i etiku. Ne bi mi smetalo da se ovOvaj roman sadrži sve elemente dobrog , pametnog i modernog SF-a, a uz to postavlja i razna pitanja vezana za moral i etiku. Ne bi mi smetalo da se ovdje našla još koja stranica više. ...more",Notes are private!,0,3,1,"Mar 16, 2022","Mar 22, 2022","Mar 16, 2022",,Paperback,view (with text),/book/show/58096750-za-poduku-ako-bude-sre-e
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mladenka kostonoga,"Periš, Želimir*",,9789533321073,,448        pp,4.63,762,unknown,2020,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Genijalno napisan roman. Nevjerojatna kombinacija različitih stilova pisanja, ne znam jesam li ikada naišla na nešto slično. U ovaj roman je utkano svGenijalno napisan roman. Nevjerojatna kombinacija različitih stilova pisanja, ne znam jesam li ikada naišla na nešto slično. U ovaj roman je utkano sve ono što je činilo naš narod kroz povijest. Težak rad, pravila, Crkva, predrasude i praznovjerja. Više od 400 stranica savršenstva. ...more",Notes are private!,0,17,1,"Mar 05, 2022","Mar 16, 2022","Mar 05, 2022",,Hardcover,view (with text),/book/show/54843620-mladenka-kostonoga
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dug put do malog, gnjevnog planeta        (Wayfarers, #1)","Chambers, Becky*",,9789538048913,,416        pp,4.18,"147,626","Jul 29, 2014",2020,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Vrlo zabavan roman, pun zanimljivih likova koji vam vrlo brzo postanu dragi (bez obzira iz kojeg svemira dolaze i kako izgledaju). Dinamična radnja, bVrlo zabavan roman, pun zanimljivih likova koji vam vrlo brzo postanu dragi (bez obzira iz kojeg svemira dolaze i kako izgledaju). Dinamična radnja, brzo se čita. Lagan, pozitivan roman, upravo ono što tražim u ova luda vremena. Nisam neki stručnjak za SF romane, ali ovaj me kupio, nadam se da ću uspjeti doći i do druga dva nastavka iz trilogije. ...more",Notes are private!,0,7,1,"Feb 27, 2022","Mar 05, 2022","Feb 27, 2022",,Paperback,view (with text),/book/show/55453835-dug-put-do-malog-gnjevnog-planeta
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Road to Wigan Pier,"Orwell, George",,,,215        pp,3.92,"24,239",1936,"Apr 26, 2001",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Put do mola u Wiganu možda i nije toliko poznat roman slavnog autora, ali je svakako vrijedan čitanja. Pisac ovdje opisuje dane koje je proveo među ruPut do mola u Wiganu možda i nije toliko poznat roman slavnog autora, ali je svakako vrijedan čitanja. Pisac ovdje opisuje dane koje je proveo među rudarima, ali i siromašnim kvartovima u kojima vladaju nezaposlenost, siromaštvo, bijeda i očaj. Bez imalo uljepšavanja prikazuje život ljudi , njihove kuće, njihova razmišljanja te pokušava shvatiti kako i zašto dolazi do sve veće klasne razlike. Mnogo toga što je naveo, vezano za politiku, uvjete života i rada, aktualno je i danas, toliko godina nakon što je ovaj roman napisan....more",Notes are private!,0,8,1,"Feb 13, 2022","Feb 17, 2022","Feb 13, 2022",,Paperback,view (with text),/book/show/30553.The_Road_to_Wigan_Pier
