,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Adam's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Animal Joy: A Book of Laughter and Resuscitation,"Alsadir, Nuar",1644450933,9781644450932,1644450933,320        pp,3.84,283,"Aug 16, 2022","Aug 16, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Loved this so much - searing, brilliant, and full of life",Notes are private!,0,15,1,not set,"Apr 05, 2024","Apr 05, 2024",,Paperback,view (with text),/book/show/58772716-animal-joy
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Phaedrus,Plato,0872202208,9780872202207,0872202208,144        pp,3.95,"9,910",-370,"Mar 15, 1995",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Fun, dynamic, and so much weirder than I thought it would be",Notes are private!,0,12,1,not set,Apr 2024,"Apr 01, 2024",,Paperback,view (with text),/book/show/360882.Phaedrus
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Splinters,"Jamison, Leslie*",0316374881,9780316374880,0316374881,272        pp,3.98,"1,363","Feb 20, 2024","Feb 20, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I've loved Jamison for years, and this one is insanely devourable - could not put it downI've loved Jamison for years, and this one is insanely devourable - could not put it down...more",Notes are private!,0,24,1,not set,"Mar 16, 2024","Mar 16, 2024",,Hardcover,view (with text),/book/show/155685405-splinters
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Small Rain,"Greenwell, Garth*",1509874690,9781509874699,1509874690,256        pp,5.00,8,unknown,"Sep 12, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"An unbelievably beautiful novel by Greenwell, that continues on the project of WHAT BELONGS TO YOU AND CLEANNESS and soulfully explores the most existAn unbelievably beautiful novel by Greenwell, that continues on the project of WHAT BELONGS TO YOU AND CLEANNESS and soulfully explores the most existential questions imaginable. Unforgettable....more",Notes are private!,0,17,1,not set,"Mar 16, 2024","Mar 16, 2024",,Hardcover,view (with text),/book/show/200502180-small-rain
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No Judgment: Essays,"Oyler, Lauren",0063235358,9780063235359,B0BRJH5R6S,288        pp,3.67,144,unknown,"Mar 19, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book has an essay about Goodreads that is partially about my Goodreads account, which is an irresistible subject, in my opinion",Notes are private!,0,26,1,not set,"Mar 16, 2024","Mar 16, 2024",,Kindle Edition,view (with text),/book/show/75663718-no-judgment
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Anthropologists,"Savas, Aysegül*",163973306X,9781639733064,163973306X,192        pp,4.67,12,unknown,"Jul 09, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Wonderful - Savas is an irresistible writer, and this adds up to a genuinely emotional complexity, always surprising, and always fresh.",Notes are private!,0,15,1,not set,"Feb 12, 2024","Feb 12, 2024",,Hardcover,view (with text),/book/show/195391751-the-anthropologists
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Granta Em Língua Portuguesa 10: O Outro,"Mexia, Pedro",,9789896717438,,212        pp,3.60,15,unknown,Apr 2023,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,6,1,not set,not set,"Aug 18, 2023",,Paperback,view,/book/show/138046655-granta-em-l-ngua-portuguesa-10
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Men Can't Be Saved,"Purkert, Ben*",1419767135,9781419767135,1419767135,304        pp,3.21,595,"Aug 01, 2023","Aug 01, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Hilarious and harrowing - Purkert is a genius with language,Notes are private!,0,25,1,not set,"Aug 18, 2023","Aug 18, 2023",,Hardcover,view (with text),/book/show/98653307-the-men-can-t-be-saved
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Am Homeless If This Is Not My Home,"Moore, Lorrie",0307594149,9780307594143,,208        pp,3.34,"4,174","Jun 20, 2023","Jun 20, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Brilliant, insane, twists and turns beyond any expectation, and the sentences are (of course) perfect",Notes are private!,1,40,1,not set,"Aug 17, 2023","Aug 17, 2023",,Hardcover,view (with text),/book/show/61605476-i-am-homeless-if-this-is-not-my-home
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hangman,"Binyam, Maya*",037461007X,9780374610074,037461007X,208        pp,3.71,800,"Aug 08, 2023","Aug 08, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Incredibly intelligent and weird - I was captivated by the style,Notes are private!,0,29,1,not set,"Aug 10, 2023","Aug 10, 2023",,Hardcover,view (with text),/book/show/62039176-hangman
