,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Петър's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Автентичната котка,"Pratchett, Terry",,9786192432669,,112        pp,3.82,"7,128","Oct 05, 1989","Jul 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Paperback,view,/book/show/198080099
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Анн от Авонлий        (Анн от фермата „Грийн Гейбълс“, #2)","Montgomery, L.M.",9542845847,9789542845843,9542845847,288        pp,4.22,"198,621","Jan 14, 1909","Jan 25, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Paperback,view,/book/show/211051280
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Кристалното сърце        (Властелини на времето, #2)","Shcherba, Natalia",9544560750,9789544560751,9544560750,304        pp,4.41,"1,293","Jan 01, 2011",Apr 2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Hardcover,view,/book/show/210978502
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Single Bells,"Schwarzenberger, Ulricke",6192620504,9786192620509,6192620504,96        pp,0.00,0,unknown,2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Paperback,view,/book/show/210978439-single-bells
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Падението на ангела,"Castelo Branco, Camilo",6197423448,9786197423440,6197423448,200        pp,3.74,"2,327",1866,Apr 2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Paperback,view,/book/show/210978339
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Джеспър Джинкс - Mиши бъркотии        (Джеспър Джинкс, #7)","Kitti, Marko*",6197765527,9786197765526,6197765527,152        pp,4.78,9,"Mar 14, 2017",Apr 2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Paperback,view,/book/show/210978305---m
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Най-добрият приятел на Джеспър Джинкс        (Джеспър Джинкс, #6)","Kitti, Marko*",6197765500,9786197765502,6197765500,150        pp,4.67,9,"Oct 10, 2016",Apr 2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Paperback,view,/book/show/210978254--
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Криминален клуб „Марлоу“        (Криминален клуб „Марлоу“, #1)","Thorogood, Robert",6197639483,9786197639483,6197639483,336        pp,3.79,"36,478","Jan 07, 2021","Apr 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Paperback,view,/book/show/210621165
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Одисея в космоса,"Clarke, Arthur C.",,,,784        pp,4.18,509,unknown,2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2024",,Hardcover,view,/book/show/210516636
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Изгубената рецепта        (Захарни мистерии, #2)","Voosen, Tanja",9544560734,9789544560737,9544560734,288        pp,4.34,181,unknown,Apr 2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Hardcover,view,/book/show/210717959
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Таланти,"Колев, Валери",,9786192620356,,208        pp,0.00,0,unknown,2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Paperback,view,/book/show/210712401
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Керван за гарвани,"Садкъ, Емине",6197674629,9786197674620,6197674629,224        pp,4.24,148,unknown,"Apr 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Paperback,view,/book/show/210712343
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Анна Ин в гробниците на света,"Tokarczuk, Olga",,9786197674477,,156        pp,3.81,"1,454",2006,"Dec 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Paperback,view,/book/show/202354996
