,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Bookworm Adventure Girl's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Collector,"Fowles, John",,,,283        pp,3.98,"80,008",May 1963,"Oct 21, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Paperback,view,/book/show/243705.The_Collector
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Mother,"McCann, Colum*",,9798985882452,B0BSPDNQXT,256        pp,4.27,235,unknown,"Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Hardcover,view,/book/show/129807687-american-mother
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Push Process,"Walker, Jonathan*",1838388788,9781838388782,1838388788,224        pp,4.40,10,unknown,"Mar 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Paperback,view,/book/show/199178863-push-process
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sun Walks Down,"McFarlane, Fiona",0374606234,9780374606237,0374606234,352        pp,3.75,"2,877","Oct 05, 2022","Feb 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/60784798-the-sun-walks-down
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Princess of the Savoy        (Priscilla Tempest Mysteries #3),"Base, Ron*",1771624051,9781771624053,1771624051,288        pp,3.88,16,unknown,"Sep 17, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Paperback,view,/book/show/200350627-princess-of-the-savoy
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Two Sherpas,"Martínez Daniell, Sebastián*",1913867412,9781913867416,,271        pp,3.68,302,Aug 2018,"Feb 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Paperback,view,/book/show/64645422-two-sherpas
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Land of Milk and Honey,"Zhang, C Pam*",0593538242,9780593538241,0593538242,240        pp,3.57,"12,001","Sep 26, 2023","Sep 26, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/101673225-land-of-milk-and-honey
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Loot,"James, Tania*",0593535979,9780593535974,0593535979,304        pp,3.83,"4,261","Jun 13, 2023","Jun 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/62802771-loot
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chrysalis,"Varghese, Anuja*",1487011660,9781487011666,1487011660,192        pp,3.97,337,"Mar 14, 2023","Mar 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Paperback,view,/book/show/62090243-chrysalis
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Between Two Moons,"Gawad, Aisha Abdel",0385548613,9780385548618,,336        pp,4.00,"1,295","Jun 06, 2023","Jun 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/62049182-between-two-moons
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Brotherless Night,"Ganeshananthan, V.V.*",0812997158,9780812997156,0812997158,348        pp,4.44,"2,029","Jan 03, 2023","Jan 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/60324341-brotherless-night
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Council of Dolls,"Power, Mona Susan",0063281090,9780063281097,,304        pp,4.06,"3,305","Aug 08, 2023","Aug 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/62645211-a-council-of-dolls
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Coleman Hill,"Foote, Kim Coleman*",1638931143,9781638931140,1638931143,320        pp,3.83,904,"Sep 05, 2023","Sep 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/129527470-coleman-hill
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A History of Burning,"Oza, Janika",1784744808,9781784744809,1784744808,393        pp,4.14,"3,046","May 02, 2023","May 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Paperback,view,/book/show/61941261-a-history-of-burning
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Daughter,"Dey, Claudia*",0374609705,9780374609702,0374609705,272        pp,3.98,931,2023,"Sep 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/124029281-daughter
