,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Allison ༻hikes the bookwoods༺'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Last Devil to Die        (Thursday Murder Club, #4)","Osman, Richard",0241512441,9780241512449,0241512441,422        pp,4.51,"108,203","Sep 14, 2023","Sep 14, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,These books practically read themselves. What a fun series.,Notes are private!,0,0,1,"Apr 10, 2024","Apr 11, 2024","Apr 10, 2024",,Hardcover,view (with text),/book/show/62226126-the-last-devil-to-die
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sociopath,"Gagne, Patric",166800318X,9781668003183,166800318X,368        pp,4.14,886,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Hardcover,view,/book/show/176443093-sociopath
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Remembering Peasants: A Personal History of a Vanished World,"Joyce, Patrick",1668031086,9781668031087,1668031086,400        pp,4.12,32,unknown,"Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Hardcover,view,/book/show/176443594-remembering-peasants
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blackheart Man,"Hopkinson, Nalo",1668005107,9781668005101,1668005107,384        pp,3.67,6,"Jan 01, 2010","Aug 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Hardcover,view,/book/show/199798012-blackheart-man
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Whole New Game: Economics, Politics, and the Transformation of the Business of Hockey in Canada","Longley, Neil",1771623802,9781771623803,1771623802,256        pp,3.44,9,unknown,"Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Hardcover,view,/book/show/152249841-a-whole-new-game
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Like Love: Essays and Conversations,"Nelson, Maggie",,9780771068591,,352        pp,3.94,35,unknown,"Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Hardcover,view,/book/show/209739126-like-love
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Spoiled Heart,"Sahota, Sunjeev",1039010520,9781039010529,1039010520,336        pp,4.29,28,"Apr 16, 2024","Apr 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Hardcover,view,/book/show/209772216-the-spoiled-heart
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fayne,"MacDonald, Ann-Marie",,9780735276659,,736        pp,4.27,"3,544","Oct 11, 2022","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Paperback,view,/book/show/210119389-fayne
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Every Living Thing: The Great and Deadly Race to Know All Life,"Roberts, Jason*",0385666802,9780385666800,0385666802,448        pp,4.26,23,"Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2024",,Hardcover,view,/book/show/13131528-every-living-thing
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Someone Like Us,"Mengestu, Dinaw",,9780385679800,,272        pp,4.83,6,unknown,"Jul 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2024",,Hardcover,view,/book/show/210005397-someone-like-us
