,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Claudia's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Non è al momento raggiungibile,"Farinaccio, Valentina",,,B09XTTKS57,180        pp,3.52,130,"May 10, 2022","May 10, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 12, 2024",,Kindle Edition,view,/book/show/60908502-non-al-momento-raggiungibile
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Triste tigre,"Sinno, Neige",2818058260,9782818058268,2818058260,288        pp,4.29,"3,111",unknown,"Aug 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 12, 2024",,Paperback,view,/book/show/124046901-triste-tigre
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La vasca del Führer,"Dandini, Serena",8806242822,9788806242824,8806242822,248        pp,3.79,"1,256","Nov 10, 2020","Nov 10, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Paperback,view,/book/show/55876786-la-vasca-del-f-hrer
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Il palazzo incompiuto: Vita, amore e arte di tre celebri donne a Venezia","Mackrell, Judith",8859254272,9788859254270,B07PWMVV58,443        pp,4.01,928,"Jun 01, 2017","Mar 22, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Kindle Edition,view,/book/show/49613891-il-palazzo-incompiuto
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Storia dei miei soldi,"Panarello, Melissa*",,9791221700367,B0CV5RS1YF,197        pp,3.49,35,unknown,"Feb 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Kindle Edition,view,/book/show/207704030-storia-dei-miei-soldi
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Saluterò di nuovo il sole,"Khabushani, Khashayar J.",,9791255750338,B0CW21XTM6,212        pp,3.94,927,"Aug 01, 2022","Feb 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Kindle Edition,view,/book/show/209042629-saluter-di-nuovo-il-sole
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Paranoia,"Jackson, Shirley",8845933113,9788845933110,8845933113,205        pp,4.08,"3,377","Jul 30, 2015","Oct 16, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Paperback,view,/book/show/42134606-paranoia
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Che traccia hai scelto,"AA.VV,",,9791221208542,B0C5SDR8TM,164        pp,2.50,2,unknown,"Jun 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Kindle Edition,view,/book/show/157651400-che-traccia-hai-scelto
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Una madre: La vita e la passione per la verità di Anna Politkovskaja,"Politkovskaya, Vera",,,B0BTJ7YYN4,129        pp,3.82,159,unknown,"Feb 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Kindle Edition,view,/book/show/122982527-una-madre
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il romanzo di Lady D,"Ali, Monica",,9791259810496,B0BCMPRXQD,309        pp,2.80,5,unknown,"Sep 02, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Kindle Edition,view,/book/show/121897168-il-romanzo-di-lady-d
