,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Brian's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Prime of Miss Jean Brodie,"Spark, Muriel",0060931736,9780060931735,0060931736,150        pp,3.71,"54,734",1961,"Feb 03, 1999",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Mar 2024,"Mar 16, 2024",,Paperback,view,/book/show/517188.The_Prime_of_Miss_Jean_Brodie
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Am Not Sidney Poitier,"Everett, Percival",1555975275,9781555975272,1555975275,234        pp,3.98,"2,972",2009,"May 26, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Paperback,view,/book/show/6080748-i-am-not-sidney-poitier
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Far Cry from Kensington,"Spark, Muriel",0811214575,9780811214575,0811214575,189        pp,3.83,"6,099",1988,"Sep 01, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Paperback,view,/book/show/69516.A_Far_Cry_from_Kensington
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Mezzanine,"Baker, Nicholson*",0679725768,9780679725763,0679725768,135        pp,3.84,"8,883","Oct 15, 1988","Jan 16, 1990",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Paperback,view,/book/show/247000.The_Mezzanine
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Money: A Suicide Note,"Amis, Martin",0140088911,9780140088915,0140088911,363        pp,3.69,"23,575",Jan 1984,"Mar 04, 1986",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Paperback,view,/book/show/762284.Money
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Who Sleeps With Katz,"McEwen, Todd",1862076642,9781862076648,1862076642,279        pp,3.94,35,Sep 2003,"Jan 01, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Paperback,view,/book/show/1445401.Who_Sleeps_With_Katz
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Moscow X        (Damascus Station #2),"McCloskey, David",1324050756,9781324050759,1324050756,454        pp,4.31,"2,487","Oct 03, 2023","Oct 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2024",,Hardcover,view,/book/show/77265038-moscow-x
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bullet Train,"Isaka, Kōtarō",1419756338,9781419756337,1419756338,432        pp,3.83,"16,139","Sep 23, 2010","Aug 03, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2024",,Hardcover,view,/book/show/56969543-bullet-train
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Capital,"Menasse, Robert",1631495712,9781631495717,1631495712,416        pp,3.59,"3,793","Sep 11, 2017","Jun 18, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2024",,Hardcover,view,/book/show/41817524-the-capital
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Broken Heart of America: St. Louis and the Violent History of the United States,"Johnson, Walter",0465064264,9780465064267,0465064264,528        pp,4.38,"1,618","Apr 14, 2020","Apr 14, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Mar 2024,"Mar 10, 2024",,Hardcover,view,/book/show/51343985-the-broken-heart-of-america
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Auburn Conference,"Piazza, Tom",160938881X,9781609388812,160938881X,199        pp,3.82,307,"May 01, 2023","May 01, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Feb 2024,"Feb 17, 2024",,Paperback,view,/book/show/63920580-the-auburn-conference
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cahokia Jazz,"Spufford, Francis*",0571336876,9780571336876,0571336876,496        pp,4.09,886,"Oct 05, 2023","Oct 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2024",,Hardcover,view,/book/show/75584918-cahokia-jazz
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Rising Man        (Sam Wyndham, #1)","Mukherjee, Abir*",,,,400        pp,3.91,"11,227","May 05, 2016","May 05, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Feb 2024,"Feb 11, 2024",,Kindle Edition,view,/book/show/25686321-a-rising-man
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On the Genealogy of Morals,"Nietzsche, Friedrich",019283617X,9780192836175,019283617X,208        pp,4.13,"29,137",1887,"Feb 25, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2024",,Paperback,view,/book/show/80449.On_the_Genealogy_of_Morals
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Damascus Station        (Damascus Station #1),"McCloskey, David",0393881040,9780393881042,0393881040,432        pp,4.23,"8,683","Oct 05, 2021","Oct 05, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2024,"Jan 31, 2024",,Hardcover,view,/book/show/56769571-damascus-station
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Phantom Tollbooth,"Juster, Norton",0394820371,9780394820378,0394820371,248        pp,4.20,"286,768",1961,1996,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2024,"Jan 28, 2024",,Paperback,view,/book/show/378.The_Phantom_Tollbooth
