,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Anne's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Also a Poet: Frank O'Hara, My Father, and Me","Calhoun, Ada*",0802159788,9780802159786,0802159788,272        pp,4.04,"1,706",2022,"Jun 14, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is the Modern Mrs Darcy Book Club April 2024 selection. The author will join us for a live discussion!Regular readers know I adore sagas of complThis is the Modern Mrs Darcy Book Club April 2024 selection. The author will join us for a live discussion!Regular readers know I adore sagas of complicated families. This nonfiction work delivers all that and more. Calhoun is the daughter of art critic Peter Schjeldahl, who I've been quoting for YEARS about his approach to works that aren't ""immediately hospitable."" Calhoun's new genre-bending book is a memoir-ish look at their complex relationship—and also a profile-of-sorts about poet Frank O'Hara. I devoured it in 36 hours and put it straight on my Best of the Year list. By the time I closed the last page I'd googled a hundred things about NYC history and requested ten books from my local library. Fascinating, devastating, vexing, illuminating. Heads up for a handful of content warnings that aren't obvious from the publisher's description or s....more",Notes are private!,0,24,1,not set,not set,"Mar 28, 2024",,Hardcover,view (with text),/book/show/59577177-also-a-poet
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Anita de Monte Laughs Last,"Gonzalez, Xochitl*",1250786215,9781250786210,1250786215,342        pp,3.92,"7,230","Mar 05, 2024","Mar 05, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Reviewed in the  March 2024 edition of Quick Lit on Modern Mrs Darcy:From our Spring Book P! Olga Dies Dreaming author González returns with a fReviewed in the  March 2024 edition of Quick Lit on Modern Mrs Darcy:From our Spring Book P! Olga Dies Dreaming author González returns with a fiery, campus-y novel set in the worlds of academia and fine art. In 1985, artist Anita de Monte falls to her death during a nasty fight with her husband, the prominent artist Jack Martin, whose fragile ego is threatened by Anita’s burgeoning success. Jack calls it an accident and carries on like nothing happened, but Anita is determined to make him pay. Flash forward to 1998, when Brown art student Raquel is preparing to launch her senior thesis on Martin, but gets sidetracked when she learns of Anita’s forgotten art—and suspicious death. Raquel admires the work and feels a kinship with its creator, another outsider in the art world. Raquel may hang with the white and rich Art History Girls, but as a first generation Puerto Rican college student, she can’t—and doesn’t want to—be mistaken for one. Plus the ways her own aspiring artist boyfriend’s actions resemble Jack’s are deeply unsettling. Smart and sophisticated (and more than a little sweary), this scintillating sophomore effort was everything I hoped for and more....more",Notes are private!,0,51,1,not set,not set,"Mar 15, 2024",,Hardcover,view (with text),/book/show/127306192-anita-de-monte-laughs-last
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Are the Brennans,"Lange, Tracey*",1250796229,9781250796226,1250796229,274        pp,3.81,"74,533","Aug 03, 2021","Aug 03, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is the Modern Mrs Darcy Book Club March 2024 selection. The author will join us for a live discussion!Five years ago, Sunday Brennan left her smaThis is the Modern Mrs Darcy Book Club March 2024 selection. The author will join us for a live discussion!Five years ago, Sunday Brennan left her small New York hometown, abandoning her parents, three brothers, and devoted fiancé with no explanation. In the present, after a wildly uncharacteristic episode of binge drinking lands her in the hospital, her brother convinces her to come home for a little while to recuperate and help with the Irish American family's struggling bar. Not everyone is thrilled to see the prodigal daughter, and her reappearance eventually causes all kinds of long-held family secrets to finally come pouring out. I loved this for its portrayal of complex family dynamics (especially among the four siblings), its sweet tale of young love, the ever-interesting setting of the bar, and its hopeful—but not tidy—resolution....more",Notes are private!,0,61,1,not set,not set,"Mar 01, 2024",,Hardcover,view (with text),/book/show/55169040-we-are-the-brennans
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Frozen River,"Lawhon, Ariel*",0385546874,9780385546874,0385546874,432        pp,4.48,"57,806","Dec 05, 2023","Dec 05, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This historical mystery is based on the life and diary of Martha Ballard, an actual 18th century midwife who delivered over a thousand babies in her cThis historical mystery is based on the life and diary of Martha Ballard, an actual 18th century midwife who delivered over a thousand babies in her career and never once lost a mother in childbirth. As midwife, Martha keeps careful written records of every birth she attends, as well as many of the community’s happenings. When she cares for a woman following a sexual assault, she records the details in her diary and resolves to do what she can to see justice served. Four months later, a body is found in the frozen river, and there’s reason to believe the two crimes are connected. The existence of Martha’s diary makes her a key witness in the upcoming trial, placing her at the center of the biggest scandal the small community has ever seen. This book is a MOOD: tender, violent, and utterly gripping.Listen to my conversation with Ariel Lawhon in What Should I Read Next #409: Stories you can't stop thinking about....more",Notes are private!,0,136,1,not set,not set,"Feb 20, 2024",,Hardcover,view (with text),/book/show/112975658-the-frozen-river
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Hookup Plan        (The Boyfriend Project, #3)","Rochon, Farrah*",1538716682,9781538716687,1538716682,368        pp,3.86,"7,130","Aug 02, 2022","Aug 02, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Listen to my conversation with Farrah Rochon in What Should I Read Next Episode #419: Romance is my entire personality.The enemies-to-lovers trope is Listen to my conversation with Farrah Rochon in What Should I Read Next Episode #419: Romance is my entire personality.The enemies-to-lovers trope is the backbone of this contemporary romance: London and Drew were arch rivals in high school, fiercely competing for top of the class. Years later, they once again find themselves in competition: London is a star surgeon at her Austin community hospital; Drew is the businessman with the power to privatize or close that hospital. I loved the contemporary Austin setting: as is the case in so many of Farrah's novels, I found myself googling neighborhoods, parks, restaurants, food trucks, shopping destinations, and more so I could see the real places where the fictional story unfolds. I've enjoyed this series for its strong female protagonists, essential female friendships, and pleasantly complex family relationships. (Open door.)...more",Notes are private!,0,20,1,not set,not set,"Feb 20, 2024",,Paperback,view (with text),/book/show/59656260-the-hookup-plan
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Family Family,"Frankel, Laurie*",1250236800,9781250236807,1250236800,400        pp,4.05,"7,311","Jan 23, 2024","Jan 23, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Reviewed in the  February 2024 edition of Quick Lit on Modern Mrs Darcy:Laurie Frankel seems to write as a form of wish fulfillment: she writes the woReviewed in the  February 2024 edition of Quick Lit on Modern Mrs Darcy:Laurie Frankel seems to write as a form of wish fulfillment: she writes the world as she wants it to be, and hopes it can become. Her new novel about adoption is easy to read and hard to describe; I'm so glad we got to talk about her new release live at our Spring Book P event! The story begins with an actress named India, who finds herself at the center of a media firestorm for criticizing her new movie in the press. Her precocious ten-year-old twins, recognizing their mother is living a PR nightmare, take it upon themselves to seek help from a person uniquely positioned to do so: a family member their mother doesn’t know they know about, and whom they’ve never met. Alternating between the present day media fracas and India’s early days as an actress, and moving between LA, Seattle, and NYC, Frankel firmly roots her tale in the world of theater and film, exploring the many forms family can take and the limits of love. With its unforgettable scenes, bold plot choices, Shakespeare and musical theater references, and at least one gasp-out-loud moment, this is a book I’m still thinking about months after turning the final page. I can't wait to talk about it with everyone I know—especially because this is a book that begs to be discussed!...more",Notes are private!,1,63,1,not set,not set,"Feb 16, 2024",,Hardcover,view (with text),/book/show/127282881-family-family
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House of Doors,Tan Twan Eng,1639731938,9781639731930,1639731938,320        pp,4.16,"8,878","May 04, 2023","Oct 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Reviewed in the  January 2024 edition of Quick Lit on Modern Mrs Darcy:In his Booker-longlisted novel, Malaysian writer Eng imagines how British novelReviewed in the  January 2024 edition of Quick Lit on Modern Mrs Darcy:In his Booker-longlisted novel, Malaysian writer Eng imagines how British novelist W. Somerset Maugham came to write his short story ""The Letter,"" which was hugely popular in its time (largely because it was adapted into a widely-seen play and then a film starring Bette Davis). Maugham, who was vastly more successful in his day than I had realized, was known to mine real life for material, particularly the relationships of his friends and acquaintances. Eng focuses here on Maugham's visit to Penang in 1921 to visit an old British friend and his wife. Shortly upon his arrival, he learns he's lost his life savings to a bad investment, and must quickly write another novel to fund his much-desired further travels. With a novelist's ear for scandal, he quickly suspects the wife has stories to tell that he can then re-tell on the page: of her loveless marriage, her relationship with a Chinese revolutionary, and especially of her friend who will soon stand trial for murder. You don't need to be familiar with Maugham's work to enjoy this lush historical look at colonial Malaysia and the disrupting influence of a famous writer on the hunt for material—but you'll likely want to read ""The Letter"" because of it....more",Notes are private!,0,27,1,not set,not set,"Jan 17, 2024",,Hardcover,view (with text),/book/show/65215270-the-house-of-doors
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One Woman Show,"Coulson, Christine",166802778X,9781668027783,166802778X,208        pp,3.95,929,"Oct 17, 2023","Oct 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Reviewed in the  January 2024 edition of Quick Lit on Modern Mrs Darcy:WSIRN guest and literary agent Elisabeth Weed recommended this book, which she Reviewed in the  January 2024 edition of Quick Lit on Modern Mrs Darcy:WSIRN guest and literary agent Elisabeth Weed recommended this book, which she called a good example of a title ""has a thimble full of weird. Coulson worked at the Metropolitan Museum of Art for 25 years, where one of her last jobs was writing the 75-word wall labels for the museum's new British galleries. She imagined a novel in that form, and this life story of Kitty Whitaker is the result: a sly and stylish novel told solely through museum wall labels about a 20th-century woman who transforms herself over the course of her lifetime. This short novel could easily be read in one sitting, and is an excellent pick for structure nerds or art and design fans....more",Notes are private!,0,17,1,not set,not set,"Jan 17, 2024",,Hardcover,view (with text),/book/show/101146034-one-woman-show
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Several People Are Typing,"Kasulke, Calvin*",,,,256        pp,3.67,"14,048","Aug 31, 2021","Aug 31, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 04, 2024",not set,"Jan 04, 2024",,Kindle Edition,view,/book/show/54468020-several-people-are-typing
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Joan Is Okay,"Wang, Weike",0525654836,9780525654834,0525654836,224        pp,3.68,"15,763","Jan 18, 2022","Jan 18, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is the Modern Mrs Darcy Book Club January 2024 selection. The author will join us for a live discussion on January 31!In this first person, charaThis is the Modern Mrs Darcy Book Club January 2024 selection. The author will join us for a live discussion on January 31!In this first person, character-driven narrative, we meet thirty-something ICU doctor Joan. Her relationships with her Chinese and Chinese American family members are fraught, and her inability to read cues makes friendship and neighborliness tricky, but her great love for her work is utterly uncomplicated—that is, until her father dies. Her workaholism has always been seen as an attribute in her NYC hospital, but when she takes just 48 hours off to fly to Shanghai and back for his funeral, HR steps in and makes her take some extended time off. Without the distraction of work, Joan is forced to reckon with the things she's been avoiding, in all their complexity and ambiguity. But then COVID-19 enters the story, with devastating effects in her personal and professional life. I so appreciated being let into Joan's interior world: her cool assessments of the people around her, her dry (and sometimes unintentional) humor, and her frank reckoning with individual and societal struggles. Catherine Ho's excellent audiobook narration was a wonderful way to experience this story....more",Notes are private!,0,54,1,not set,not set,"Dec 22, 2023",,Hardcover,view (with text),/book/show/55333768-joan-is-okay
