,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Sve's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Нови и избрани разкази,"Попов, Алек",,9789542844655,,300        pp,3.43,7,unknown,Oct 2013,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Apr 2024,not set,"Apr 01, 2024",,Paperback,view,/book/show/201276871
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Джорджич се връща,"Vojnović, Goran",6197674564,9786197674569,6197674564,304        pp,3.82,306,Apr 2021,Mar 2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 11, 2024",not set,"Mar 28, 2024",,Paperback,view,/book/show/209518479
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Powerful Women Who Ruled the Ancient World,"Cooney, Kara",,,B0859KVQCD,unknown,4.08,484,unknown,"Mar 17, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 26, 2024",not set,"Mar 26, 2024",,Audible Audio,view,/book/show/53300795-powerful-women-who-ruled-the-ancient-world
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Medical Mysteries Across History,"Benaroch, Roy",,,B083L3D535,unknown,4.13,542,unknown,"Jan 21, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,Jan 2024,"Mar 26, 2024",,Audible Audio,view,/book/show/53200063-medical-mysteries-across-history
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Portrait of a Lady,"James, Henry",0141439637,9780141439631,0141439637,797        pp,3.79,"80,525","Jan 01, 1881","Sep 01, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 17, 2024",,Paperback,view,/book/show/264.The_Portrait_of_a_Lady
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Новаци,"Carver, Raymond",,9786191862399,,270        pp,4.24,"2,536",2009,2022,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Paperback,view,/book/show/22919901
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Китай в десет думи,Yu Hua,6191868898,9786191868896,6191868898,264        pp,4.04,"7,222","Jan 01, 2011",Mar 2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Paperback,view,/book/show/209645742
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Текст,"Glukhovsky, Dmitry*",5171035210,9785171035211,5171035210,320        pp,3.92,"3,570",2017,2017,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2024",,Hardcover,view,/book/show/35525142
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Ladder to the Sky,"Boyne, John*",,,B077Q8WLPC,368        pp,4.21,"34,446","Aug 09, 2018","Aug 23, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I liked this book a lot, it kept me glued to the page, especially the last 80 or so pages. I also felt a very strong urge to physically abuse the mainI liked this book a lot, it kept me glued to the page, especially the last 80 or so pages. I also felt a very strong urge to physically abuse the main character. Sadly, I do not think he ever got what he deserved, which is one more proof how hopeless it is to try and otplay a sociopath....more",Notes are private!,1,8,1,"Mar 09, 2024","Mar 19, 2024","Mar 09, 2024",,Kindle Edition,view (with text),/book/show/39676520-a-ladder-to-the-sky
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Witchcraft: A History in Thirteen Trials,"Gibson, Marion",1668002426,9781668002421,1668002426,320        pp,3.75,779,2023,"Jan 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 09, 2024",,Hardcover,view,/book/show/176443387-witchcraft
