,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Taryn's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Hope in the Dark: Untold Histories, Wild Possibilities","Solnit, Rebecca",1608465764,9781608465767,1608465764,184        pp,3.99,"9,848","Apr 01, 2004","Mar 15, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2024",,Paperback,view,/book/show/25330235-hope-in-the-dark
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Not Too Late: Changing the Climate Story from Despair to Possibility,"Solnit, Rebecca",1642598976,9781642598971,,200        pp,4.02,640,"Apr 04, 2023","Apr 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 09, 2024",not set,"Apr 09, 2024",,Paperback,view,/book/show/85173842-not-too-late
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Weird and the Eerie,"Fisher, Mark",1910924385,9781910924389,1910924385,134        pp,4.03,"3,868",2016,"Jan 31, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Paperback,view,/book/show/29845449-the-weird-and-the-eerie
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Orange and Other Poems,"Cope, Wendy",057138952X,9780571389520,B0CLLG7G3N,53        pp,4.25,"2,942","Nov 09, 2023","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Kindle Edition,view,/book/show/200539015-the-orange-and-other-poems
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Who's Afraid of Gender?,"Butler, Judith",0374608229,9780374608224,0374608229,320        pp,4.01,175,unknown,"Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Hardcover,view,/book/show/127282429-who-s-afraid-of-gender
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,James,"Everett, Percival",0385550367,9780385550369,0385550367,303        pp,4.63,"6,330","Mar 19, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 31, 2024",,Hardcover,view,/book/show/173754979-james
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fire Exit,"Talty, Morgan*",1959030558,9781959030553,1959030558,256        pp,4.46,46,"Jun 04, 2024","Jun 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Hardcover,view,/book/show/197789783-fire-exit
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Road to the Salt Sea,"Kolawole, Samuel*",0063050889,9780063050884,B0CKBT8P33,320        pp,4.88,8,"Jul 02, 2024","Jul 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Kindle Edition,view,/book/show/57504849-the-road-to-the-salt-sea
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Heard Her Call My Name,"Sante, Lucy",1529152712,9781529152715,1529152712,211        pp,3.86,295,unknown,"Mar 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Hardcover,view,/book/show/179946100-i-heard-her-call-my-name
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,[...]: Poems,"Joudah, Fady",1639551298,9781639551293,B0CS748RV3,82        pp,4.78,46,unknown,"Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Kindle Edition,view,/book/show/205312834
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The King of Attolia        (The Queen's Thief, #3)","Turner, Megan Whalen*",006083577X,9780060835774,006083577X,387        pp,4.39,"40,212","Jan 24, 2006","Jan 24, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/40159.The_King_of_Attolia
