,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Beatriz's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Mulher de Branco,"Collins, Wilkie",,,,478        pp,4.01,"154,416","Nov 26, 1859",Oct 2009,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2024",,Paperback,view,/book/show/7495029-a-mulher-de-branco
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Poor Things,"Gray, Alasdair",0747562288,9780747562283,0747562288,318        pp,4.00,"20,423",1992,2002,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Paperback,view,/book/show/72355.Poor_Things
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Story or Die: How to Use Brain Science to Engage, Persuade, and Change Minds in Business and in Life","Cron, Lisa*",198485769X,9781984857699,B089S7DT47,261        pp,4.07,246,2021,"Mar 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Kindle Edition,view,/book/show/55473416-story-or-die
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Only Dull People Are Brilliant at Breakfast,"Wilde, Oscar",024125180X,9780241251805,024125180X,52        pp,3.93,"13,377","Mar 03, 2016","Mar 03, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 25, 2023",,Paperback,view,/book/show/29242877-only-dull-people-are-brilliant-at-breakfast
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Human Resource Management: Text and Cases,"Aswathappa, K.",,9781259026829,1259026825,874        pp,3.92,266,"May 01, 2013","Jun 20, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 18, 2023",,Paperback,view,/book/show/18247685-human-resource-management
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"84, Charing Cross Road","Hanff, Helene",,,,106        pp,4.16,"83,394",1970,"Oct 01, 1990",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 17, 2023",,Paperback,view,/book/show/368916.84_Charing_Cross_Road
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Coaching Habit,"Bungay Stanier, Michael*",9892345061,9789892345062,B07S59T6FG,213        pp,4.02,"23,401","Feb 29, 2016","Apr 11, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 07, 2023","Dec 16, 2023","Dec 15, 2023",,Kindle Edition,view,/book/show/46218338-the-coaching-habit
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Não Saí da Minha Noite,"Ernaux, Annie*",9897112219,9789897112218,9897112219,88        pp,3.98,"3,525","Dec 01, 1996",Aug 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 06, 2023","Nov 12, 2023","Nov 13, 2023",,Paperback,view,/book/show/198479458-n-o-sa-da-minha-noite
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"O que é ser uma escritora negra hoje, de acordo comigo","Almeida, Djaimilia Pereira de",,9789897872303,,97        pp,4.40,55,unknown,Oct 2023,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 26, 2023","Oct 29, 2023","Oct 26, 2023",,Paperback,view,/book/show/201770883-o-que-ser-uma-escritora-negra-hoje-de-acordo-comigo
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Happily: A Personal History-with Fairy Tales,"Mark, Sabrina Orah*",0593242475,9780593242476,0593242475,224        pp,3.89,506,"Mar 14, 2023","Mar 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 25, 2023",,Hardcover,view,/book/show/61327451-happily
