,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Jessica's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sincerely, The Duke        (Say I Do, #2)","Grey, Amelia*",1250850436,9781250850430,1250850436,328        pp,3.90,225,"Mar 26, 2024","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Mass Market Paperback,view,/book/show/127279821-sincerely-the-duke
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ne'er Duke Well,"Vasti, Alexandra*",1250910943,9781250910943,1250910943,352        pp,4.27,450,"Jul 23, 2024","Jul 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Paperback,view,/book/show/195790787-ne-er-duke-well
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Trail of Lost Hearts,"Garvis-Graves, Tracey*",1250280273,9781250280275,,304        pp,4.11,"1,076","Mar 26, 2024","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Hardcover,view,/book/show/205698090-the-trail-of-lost-hearts
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,If I Stopped Haunting You,"Wilkens, Colby*",1250292905,9781250292902,1250292905,320        pp,3.36,300,"Oct 15, 2024","Oct 15, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Paperback,view,/book/show/203578889-if-i-stopped-haunting-you
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Bit Much: Poems,"Rush, Lyndsay*",1250323460,9781250323460,1250323460,304        pp,3.89,36,unknown,"Sep 17, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Paperback,view,/book/show/206101599-a-bit-much
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rednecks,"Brown, Taylor*",1250329337,9781250329332,1250329337,320        pp,4.25,122,"May 14, 2024","May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Hardcover,view,/book/show/195790759-rednecks
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One Way Back: A Memoir,"Ford, Christine Blasey",1250289653,9781250289650,1250289653,320        pp,4.34,554,"Mar 19, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Hardcover,view,/book/show/199753881-one-way-back
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Garden Girls,"Patch, Jessica R.*",1335463070,9781335463074,,unknown,4.72,92,Apr 2024,"Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Paperback,view,/book/show/197031977-the-garden-girls
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Red River Road,"Downes, Anna*",1250868017,9781250868015,1250868017,384        pp,4.14,49,"Aug 27, 2024","Aug 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Hardcover,view,/book/show/195790904-red-river-road
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Love Elixir of Augusta Stern,"Loigman, Lynda Cohen*",1250278104,9781250278104,1250278104,320        pp,4.56,82,unknown,"Oct 08, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Hardcover,view,/book/show/203579107-the-love-elixir-of-augusta-stern
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Death in Old Mexico,"Germeten, Nicole von*",1009261509,9781009261500,1009261509,286        pp,4.38,8,"Mar 09, 2023","Mar 09, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Paperback,view,/book/show/63243599-death-in-old-mexico
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Night in Question,"Fletcher, Susan",,9780385698122,,440        pp,4.33,111,"Apr 16, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Paperback,view,/book/show/205420927-the-night-in-question
