,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Jennifer's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Witch in Edinburgh,"Thompson, Marielle*",1496742648,9781496742643,1496742648,384        pp,4.77,13,unknown,"Aug 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Paperback,view,/book/show/202470530-the-last-witch-in-edinburgh
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Masquerade,"Sangoyomi, O.O.*",1250904293,9781250904294,,352        pp,4.36,56,"Jul 02, 2024","Jul 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Hardcover,view,/book/show/195790999-masquerade
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lie Until It's True,"Weaver, Jessie*",1368078419,9781368078412,1368078419,320        pp,4.45,47,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Hardcover,view,/book/show/138378629-lie-until-it-s-true
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Minor Miracle: The Amazing Adventures of Noah Minor,"Davis, Meredith*",0593445333,9780593445334,0593445333,272        pp,4.28,18,unknown,"May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Hardcover,view,/book/show/200112797-the-minor-miracle
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Bone Season        (The Bone Season, #1)","Shannon, Samantha*",163973418X,9781639734184,163973418X,624        pp,3.81,"81,762","Aug 20, 2013","May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Paperback,view,/book/show/195391688-the-bone-season
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Casa Amor,"Ridgley, Glyn*",,,B0BLKCQPT8,236        pp,5.00,2,unknown,"Nov 04, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Kindle Edition,view,/book/show/189952096-casa-amor
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ministry of Time,"Bradley, Kaliane",1668045141,9781668045145,1668045141,352        pp,4.00,788,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Hardcover,view,/book/show/199798179-the-ministry-of-time
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Think Like Socrates: Ancient Philosophy as a Way of Life in the Modern World,"Robertson, Donald J.*",1250280508,9781250280503,1250280508,320        pp,0.00,0,unknown,"Nov 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Hardcover,view,/book/show/203578835-how-to-think-like-socrates
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All This and More,"Shepherd, Peng*",0063278979,9780063278974,0063278979,512        pp,4.03,58,"Jul 09, 2024","Jul 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Hardcover,view,/book/show/199515825-all-this-and-more
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Stone Home,"Kim, Crystal Hana*",006331097X,9780063310971,006331097X,352        pp,4.12,104,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Hardcover,view,/book/show/181109975-the-stone-home
