,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Derek's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sacrificers #7,"Remender, Rick",,,B0CXWZ7X32,32        pp,4.29,21,unknown,"Apr 03, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 09, 2024","Apr 09, 2024","Apr 08, 2024",,Kindle Edition,view,/book/show/210319967-sacrificers-7
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Out of the Blue: The Complete Series,"Ennis, Garth",1949028488,9781949028485,1949028488,152        pp,3.81,67,unknown,"Aug 04, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 03, 2024","Apr 05, 2024","Apr 03, 2024",,Hardcover,view,/book/show/54719443-out-of-the-blue
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Arca,"Jensen, Van*",1684059984,9781684059980,1684059984,176        pp,3.71,478,unknown,"Jul 11, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,THEY TRIED TO DO TOO MUCH!,Notes are private!,0,0,1,"Apr 02, 2024","Apr 03, 2024","Apr 03, 2024",,Paperback,view (with text),/book/show/63337494-arca
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hundred Brothers,"Antrim, Donald",0099268248,9780099268246,0099268248,196        pp,3.66,"1,261","Jan 28, 1997",1998,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Incredibly insightful and compellingly witty, this was v enjoyable to read.",Notes are private!,0,1,1,Apr 2024,"Apr 10, 2024","Apr 01, 2024",,Paperback,view (with text),/book/show/6358549-the-hundred-brothers
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Verificationist,"Antrim, Donald",0375408223,9780375408229,0375408223,192        pp,3.43,991,"Feb 15, 2000","Feb 15, 2000",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Started off very strongly but kind of lost me with the astral projection bits. Still, the writing was good enough to keep me reading until the end. DAStarted off very strongly but kind of lost me with the astral projection bits. Still, the writing was good enough to keep me reading until the end. DA is a gifted writer no doubt. ...more",Notes are private!,0,1,1,"Mar 22, 2024","Mar 25, 2024","Mar 22, 2024",,Hardcover,view (with text),/book/show/500144.The_Verificationist
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Invention of Sound,"Palahniuk, Chuck*",,9781472155498,,unknown,3.48,"7,575","Sep 08, 2020","Sep 03, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 17, 2024",,kindle_edition,view,/book/show/53208870-the-invention-of-sound
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Waterland,"Swift, Graham",1471187322,9781471187322,1471187322,512        pp,3.90,"9,292",1983,"Jul 11, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 17, 2024",not set,"Mar 17, 2024",,paperback,view,/book/show/52530912-waterland
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Phantom Road #9,"Lemire, Jeff",,,B0CV5TRMDS,29        pp,3.97,34,unknown,"Feb 28, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 11, 2024","Mar 11, 2024","Mar 11, 2024",,Kindle Edition,view,/book/show/208146040-phantom-road-9
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Phantom Road #8,"Lemire, Jeff",,,B0CQLKS4DM,32        pp,3.90,39,unknown,"Jan 17, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 10, 2024","Mar 10, 2024","Mar 10, 2024",,Kindle Edition,view,/book/show/204154402-phantom-road-8
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Phantom Road #7,"Lemire, Jeff",,,B0CNKDH5SZ,30        pp,4.09,44,unknown,"Dec 13, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Mar 10, 2024not set","Mar 10, 2024not set","Mar 10, 2024",,Kindle Edition,view,/book/show/202353158-phantom-road-7
