,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Ali's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Palace Papers: Inside the House of Windsor - the Truth and the Turmoil,"Brown, Tina",0593138090,9780593138090,0593138090,571        pp,4.04,"18,236","Apr 26, 2022","Apr 26, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Katie made me listen. Here for the stories.,Notes are private!,0,2,1,not set,"Apr 10, 2024","Apr 10, 2024",,Hardcover,view (with text),/book/show/59089872-the-palace-papers
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heiress,"Hawkins, Rachel*",1250280036,9781250280039,,294        pp,3.92,"48,318","Jan 09, 2024","Jan 09, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Enjoyed.,Notes are private!,0,1,1,not set,"Apr 07, 2024","Apr 07, 2024",,Hardcover,view (with text),/book/show/126919284-the-heiress
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Never Lie,"McFadden, Freida*",,,B0BBL2ZW73,286        pp,4.11,"509,716","Sep 19, 2022","Sep 19, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Super fast, easy read. Nothing deep.",Notes are private!,0,5,1,not set,"Mar 27, 2024","Mar 27, 2024",,Kindle Edition,view (with text),/book/show/62080187-never-lie
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Look Closer,"Ellis, David",0399170928,9780399170928,0399170928,448        pp,4.24,"43,331","Jul 05, 2022","Jul 05, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Like not love. Twisty but felt disjointed.,Notes are private!,0,1,1,not set,"Mar 26, 2024","Mar 26, 2024",,Hardcover,view (with text),/book/show/59316367-look-closer
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Women,"Hannah, Kristin*",1250178630,9781250178633,,480        pp,4.69,"223,981","Feb 06, 2024","Feb 06, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,The Great Alone is still my favorite of hers but this was really good.,Notes are private!,0,27,1,not set,"Feb 22, 2024","Feb 22, 2024",,Hardcover,view (with text),/book/show/127305853-the-women
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dead in Long Beach, California","Blackburn, Venita",0374602824,9780374602826,0374602824,240        pp,3.26,406,"Jan 23, 2024","Jan 23, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Interesting approach. Glad I read it. Not light.,Notes are private!,0,0,1,not set,"Feb 19, 2024","Feb 19, 2024",,Hardcover,view (with text),/book/show/127282888-dead-in-long-beach-california
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All Good People Here,"Flowers, Ashley*",,,B09QHM1JM6,336        pp,3.85,"220,146","Aug 16, 2022","Aug 16, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"At first I wasn’t sure about it, but by the very end I had enjoyed the ride as a whole.",Notes are private!,0,7,1,not set,"Jan 30, 2024","Jan 30, 2024",,Kindle Edition,view (with text),/book/show/60164764-all-good-people-here
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last List of Mabel Beaumont,"Pearson, Laura",1785136054,9781785136054,B0C492MN2Q,314        pp,4.04,"36,866","Aug 04, 2023","Aug 04, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Tender-hearted. Really loved the relationships + having an 80+ year old narrator. Looking forward to our book club discussion of this one.,Notes are private!,0,4,1,not set,"Jan 27, 2024","Jan 27, 2024",,Kindle Edition,view (with text),/book/show/148516779-the-last-list-of-mabel-beaumont
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,First Lie Wins,"Elston, Ashley*",0593492919,9780593492918,,340        pp,4.12,"187,042","Jan 02, 2024","Jan 02, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Really liked this one. Interesting twists + turns. Kept my attention.,Notes are private!,0,7,1,not set,"Jan 15, 2024","Jan 15, 2024",,Hardcover,view (with text),/book/show/164444179-first-lie-wins
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bright Young Women,"Knoll, Jessica*",1501153226,9781501153228,1501153226,384        pp,4.03,"86,916","Sep 19, 2023","Sep 19, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Definitely kept my interest.,Notes are private!,0,5,1,not set,"Dec 16, 2023","Dec 16, 2023",,Hardcover,view (with text),/book/show/101124639-bright-young-women
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kill Show,"Sweren-Becker, Daniel",0063321424,9780063321427,B0BRJJH2WP,256        pp,3.80,"3,008","Oct 03, 2023","Oct 03, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Super fast. Interesting organization to the story. Liked it as a way to get back into reading.,Notes are private!,0,0,1,not set,"Dec 04, 2023","Dec 04, 2023",,Kindle Edition,view (with text),/book/show/75664836-kill-show
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Best Minds: A Story of Friendship, Madness, and the Tragedy of Good Intentions","Rosen, Jonathan",069819652X,9780698196520,B0B6ZC3S47,575        pp,4.12,"7,118","Apr 18, 2023","Apr 18, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 27, 2023",not set,"Nov 27, 2023",,Kindle Edition,view,/book/show/74834636-the-best-minds
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Fourth Wing        (The Empyrean, #1)","Yarros, Rebecca*",1649374046,9781649374042,1649374046,498        pp,4.59,"1,499,524","May 02, 2023","May 02, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I completely enjoyed the ride of this book. Couldn’t get it out of my head. Wonderful mixture of Harry Potter, game of thrones, hunger games, and twilI completely enjoyed the ride of this book. Couldn’t get it out of my head. Wonderful mixture of Harry Potter, game of thrones, hunger games, and twilight. ...more",Notes are private!,1,29,1,not set,"Nov 20, 2023","Nov 20, 2023",,Hardcover,view (with text),/book/show/61431922-fourth-wing
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vaster Wilds,"Groff, Lauren*",,,B0BTVBH6G3,272        pp,3.79,"24,313","Sep 12, 2023","Sep 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 28, 2023",not set,"Oct 28, 2023",,Kindle Edition,view,/book/show/75252590-the-vaster-wilds
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Happiness Falls,"Kim, Angie*",0593448200,9780593448205,0593448200,387        pp,3.76,"47,032","Aug 29, 2023","Aug 29, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Lots of feelings about this one. Looking forward to talking it through with close friends who also have neurodivergent children ❤️.,Notes are private!,1,10,1,not set,"Oct 17, 2023","Oct 17, 2023",,Hardcover,view (with text),/book/show/75495002-happiness-falls
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Remarkably Bright Creatures,"Van Pelt, Shelby",,,B09BNH4TLW,362        pp,4.40,"540,537","May 03, 2022","May 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 21, 2023",not set,"Sep 21, 2023",,Kindle Edition,view,/book/show/59710157-remarkably-bright-creatures
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,None of This Is True,"Jewell, Lisa*",1982179007,9781982179007,1982179007,380        pp,4.15,"425,239","Jul 20, 2023","Aug 08, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Just read it.,Notes are private!,1,8,1,not set,"Aug 19, 2023","Aug 19, 2023",,Hardcover,view (with text),/book/show/62334530-none-of-this-is-true
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,None of This Is Probably True,"Wing, John Jr.",0889627908,9780889627901,0889627908,96        pp,4.33,6,"Nov 01, 2002","Jan 01, 2003",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Aug 19, 2023",,Paperback,view,/book/show/15125633-none-of-this-is-probably-true
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dark Corners        (Rachel Krall, #2)","Goldin, Megan*",1250280680,9781250280688,1250280680,343        pp,3.84,"23,784","Aug 08, 2023","Aug 08, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I definitely liked the first book featuring the character Rachel better (The Night Swim) - this one felt forced, lacked depth, and was regrettably preI definitely liked the first book featuring the character Rachel better (The Night Swim) - this one felt forced, lacked depth, and was regrettably predictable. ...more",Notes are private!,0,1,1,not set,"Aug 15, 2023","Aug 15, 2023",,Hardcover,view (with text),/book/show/61884922-dark-corners
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tom Lake,"Patchett, Ann",,,B0BL126WSH,352        pp,4.04,"241,327","Aug 01, 2023","Aug 01, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Beautiful storytelling.,Notes are private!,0,8,1,"Aug 12, 2023","Sep 06, 2023","Aug 12, 2023",,Kindle Edition,view (with text),/book/show/63256933-tom-lake
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hidden Pictures,"Rekulak, Jason*",1250819342,9781250819345,1250819342,372        pp,4.15,"249,971","May 10, 2022","May 10, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Super fast read. Enjoyed it - twisty - definitely read vs. listen for the drawings.,Notes are private!,0,8,1,not set,"Jul 30, 2023","Jul 30, 2023",,Hardcover,view (with text),/book/show/58724923-hidden-pictures
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Night Swim,"Goldin, Megan*",1250834331,9781250834331,,341        pp,4.04,"106,066","Aug 04, 2020","Aug 03, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Liked it!,Notes are private!,0,5,1,not set,"Jul 27, 2023","Jul 29, 2023",,Paperback,view (with text),/book/show/58703898-the-night-swim
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Twenty Years Later,"Donlea, Charlie*",1496727169,9781496727169,1496727169,357        pp,4.23,"100,669","Dec 28, 2021","Dec 28, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Just okay for me. 3.5 - straight forward, mass-market writing (for some reason to me that means the author repeats pieces of the story over and over aJust okay for me. 3.5 - straight forward, mass-market writing (for some reason to me that means the author repeats pieces of the story over and over again to make sure the readers get the point). Easy read. ...more",Notes are private!,0,2,1,not set,"Jul 09, 2023","Jul 09, 2023",,Hardcover,view (with text),/book/show/57645345-twenty-years-later
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Quiet Tenant,"Michallon, Clémence*",,,B0BF9BXN88,308        pp,3.88,"66,410","Jun 20, 2023","Jun 20, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.5 - Wanted to like it more than I did. It’s solid thriller.,Notes are private!,0,0,1,"Jun 30, 2023","Jul 03, 2023","Jun 30, 2023",,Kindle Edition,view (with text),/book/show/74824568-the-quiet-tenant
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Covenant of Water,"Verghese, Abraham*",0802162185,,B0BJSGV831,775        pp,4.47,"150,367","May 02, 2023","May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 25, 2023",not set,"Jun 25, 2023",,Kindle Edition,view,/book/show/63429926-the-covenant-of-water
