,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,ΠανωςΚ's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Αιρετικοί,"Padura Fuentes, Leonardo",9600358753,9789600358759,,800        pp,4.03,"2,506",2013,"Mar 16, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"DNF, ντου νου φου, που λέμε και στο άπερ Σανσίτυ. Πότε αποφασίζεις να παρατήσεις ένα βιβλίο; Εγώ άντεξα διακόσιες πενήντα σελίδες του πολυδιαφημισμένοDNF, ντου νου φου, που λέμε και στο άπερ Σανσίτυ. Πότε αποφασίζεις να παρατήσεις ένα βιβλίο; Εγώ άντεξα διακόσιες πενήντα σελίδες του πολυδιαφημισμένου συγγραφέα, είχα βαρεθεί από την αρχή, αλλά έχουμε λοκντάουν και είπα προσπάθησε λίγο ακόμη, αλλά μπα... Ήταν η δεύτερη απόπειρα ανάγνωσης Παδούρα, τζίφος ξανά. Στην τρίτη (που μάλλον θα είναι αυτό με τον άντρα που αγαπούσε τα σκυλιά), θα καώ (κι άλλο). Αντί για Παδούρα, Τσαβαρία. Παντελώς υποκειμενικά και χωρίς επιχειρήματα, γνώμη μου, που λένε παντού, όχι μόνο στο άπερ Σανσίτυ....more",Notes are private!,0,7,1,not set,not set,"Nov 07, 2020",,Paperback,view (with text),/book/show/25121309
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Τα ανατρεπτικά βιβλία,"Gutiérrez, Pablo",,9789600361995,,288        pp,3.52,128,"Apr 07, 2015","Jun 06, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Μου άρεσε πολύ η χειμαρρώδης γραφή που δεν χαρίζει κάστανα σε κανέναν και πουθενά. Με φάνηκε περισσότερο πολιτικό παρά βιβλιοφιλικό (κι αυτό μέτρησε θΜου άρεσε πολύ η χειμαρρώδης γραφή που δεν χαρίζει κάστανα σε κανέναν και πουθενά. Με φάνηκε περισσότερο πολιτικό παρά βιβλιοφιλικό (κι αυτό μέτρησε θετικά, η βιβλιοφιλία καμιά φορά με φαίνεται κάπως σνομπ). ...more",Notes are private!,0,10,1,not set,not set,"Nov 07, 2020",,Paperback,view (with text),/book/show/35107575
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Χαμένα κορμιά,"Gray, Alasdair",,9789602116135,9602116137,343        pp,4.00,"20,449",1992,"Jan 01, 2001",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Το βρήκα καταχωνιασμένο σε ένα χαμηλό ράφι, το πήρα με λίγες προσδοκίες, σε φάση ""δεν βαριέσαι"" και εντέλει ενθουσιάστηκα. Και ερωτικό και πολιτικό καΤο βρήκα καταχωνιασμένο σε ένα χαμηλό ράφι, το πήρα με λίγες προσδοκίες, σε φάση ""δεν βαριέσαι"" και εντέλει ενθουσιάστηκα. Και ερωτικό και πολιτικό και της φαντασίας και λογοτεχνικοανατρεπτικό και διακοσμημένες οι σελίδες με καταπληκτικά σχέδια του ίδιου του συγγραφέα - άλλωστε λόγω εξωφύλλου το αγόρασα κι επειδή με αρέσουν οι εκδόσεις Νεφέλη (βασικά με αρέσει η λέξη νεφέλη). Μιλάμε για παντελώς αξιόπιστα (νοτ) και αντικειμενικά (νοτ) κριτήρια. ...more",Notes are private!,0,18,1,not set,not set,"Oct 25, 2020",,Paperback,view (with text),/book/show/16171795
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ας αρχίσει η γιορτή,"Ammaniti, Niccolò",,9789600360547,,352        pp,3.52,"5,124",2009,May 2016,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"είναι για κάπως, χμμμμ..., ιδιαίτερα γούστα - πίσω απ' τον ορμητικό χαβαλέ και τη σάτιρα υπάρχει και ουσία - σίγουρα το παρατραβάει προς το φινάλε - έείναι για κάπως, χμμμμ..., ιδιαίτερα γούστα - πίσω απ' τον ορμητικό χαβαλέ και τη σάτιρα υπάρχει και ουσία - σίγουρα το παρατραβάει προς το φινάλε - ένα από τα κεντρικά ευρήματα, δεν λέω ποιο προς αποφυγήν σπόιλερ, είναι τραβηγμένο από τα μαλλιά, αλλά το καραγούσταρα το βιβλίο ίσως γιατί μού θύμισε πόσο είχα απολαύσει κάποια απ' τα βιβλία του καταλανού Τουσέτ (κρουασάν, άρχοντας των χοιρινών κτλ.) ...more",Notes are private!,0,5,2,not setnot set,not setnot set,"Oct 22, 2020",,Paperback,view (with text),/book/show/30287710
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Μέσα από τις σκιές,"Millás, Juan José",,9786180119565,,232        pp,3.77,"2,795","Apr 05, 2016",2017,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,απρόσμενα έξυπνο και διασκεδαστικό -και όχι μόνο,Notes are private!,0,5,1,not set,not set,"Oct 20, 2020",,ebook,view (with text),/book/show/34728491
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ξενοδοχείο Ίρις,"Ogawa, Yōko",9603255289,9789603255284,9603255289,271        pp,3.32,"6,801",1996,2004,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,6,2,not setnot set,not setnot set,"Oct 19, 2020",,Paperback,view,/book/show/13120140
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ο άχρωμος Τσουκούρου Ταζάκι και τα χρόνια του προσκυνήματός του,"Murakami, Haruki",,,,352        pp,3.87,"179,463","Apr 12, 2013",Oct 2014,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Καλός ο Μουρακάμι, η γραφή του γοητευτική, πολύ ενδιαφέρον το αρχικό εύρημα του απόβλητου μιας παρέας που το κουβαλά μέσα του ως τραύμα και χρόνια μετΚαλός ο Μουρακάμι, η γραφή του γοητευτική, πολύ ενδιαφέρον το αρχικό εύρημα του απόβλητου μιας παρέας που το κουβαλά μέσα του ως τραύμα και χρόνια μετά αναζητεί τις απαντήσεις, αλλά η ιστορία μπάζει. Ασε που θεωρώ προβληματικότατο ένα βασικό στοιχείο της πλοκής, το οποίο δεν υπάρχει λόγος να το αναφέρω, πολλοί άλλοι ριβιούερζ το έχουν κάνει. ...more",Notes are private!,0,5,1,not set,not set,"Oct 03, 2020",,Paperback,view (with text),/book/show/23490582
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Το ταξίδι στην Ελλάδα        (Δύσκολοι καιροί, #1)","Nollas, Dimitris",9609527728,9789609527729,9609527728,188        pp,3.32,44,"Mar 19, 2013","Mar 19, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Μια ελαφρά δυσπιστία και μια αμφιβολία την είχα πριν την ανάγνωση, την έχω και μετά. Αλλά με άρεσε.",Notes are private!,0,3,1,not set,not set,"Oct 01, 2020",,Paperback,view (with text),/book/show/17571346
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ο φαντομάς        (Harry Hole, #9)","Nesbø, Jo*",,9789605662424,9605662426,592        pp,4.11,"47,415",2011,"Oct 09, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Γράφει ώστε να πουλάει, να σε εντυπωσιάζει και να μην αφήνεις το βιβλίο από τα χέρια σου. Αυτά είν' τα θετικά. Στ' αρνητικά, έχω διαβάσει κι άλλα του Γράφει ώστε να πουλάει, να σε εντυπωσιάζει και να μην αφήνεις το βιβλίο από τα χέρια σου. Αυτά είν' τα θετικά. Στ' αρνητικά, έχω διαβάσει κι άλλα του Νέσμπο με τον Χάρι Χόλε (δεν με αρέσει το όνομά του, άσχετο) αλλά δεν θυμάμαι ποια, ούτε κάτι ιδιαίτερο σχετικά με αυτά. Μόνον ότι για κάποιον απροσδιόριστο λόγο προτιμώ τον Αρνε Νταλ. Ιδανικό ανάγνωσμα πάντως (νομίζω) για πτήσεις ή για ταξίδια με το τρένο ή τεσπά για ξεκούραστα Σαββατοκύριακα. Και δεν το λέω μειωτικά αυτό. ...more",Notes are private!,0,1,1,not set,not set,"Sep 20, 2020",,Paperback,view (with text),/book/show/18194377
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Οι άνδρες που αγάπησαν την Ήβλυν Κόττον,"Ronan, Frank",,9789603251040,9603251046,360        pp,3.80,153,1989,"Dec 28, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 17, 2020",,Paperback,view,/book/show/28372472
