,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,"Debbie ""DJ""'s rating",my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Black AF History: The Un-Whitewashed Story of America,"Harriot, Michael",0358439167,9780358439165,0358439167,432        pp,4.59,"2,577","Sep 19, 2023","Sep 15, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 07, 2024",not set,"Apr 05, 2024",,Hardcover,view,/book/show/55959466-black-af-history
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Soldier Sailor,"Kilroy, Claire",0571381146,9780571381142,0571381146,233        pp,4.18,"2,286","May 02, 2023","Jan 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Hardcover,view,/book/show/61852521-soldier-sailor
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Disappeared by Kim Echlin        (2009-12-29),"Echlin, Kim*",,,B01FKSP5E2,0        pp,4.00,6,unknown,"Jan 01, 1767",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Paperback,view,/book/show/151981795-the-disappeared-by-kim-echlin
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Slow Noodles: A Cambodian Memoir of Love, Loss, and Family Recipes","Nguon, Chantha",1643753495,9781643753492,1643753495,304        pp,4.35,290,"Feb 20, 2024","Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Hardcover,view,/book/show/173404032-slow-noodles
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cuckoo,"Felker-Martin, Gretchen*",1250794668,9781250794666,1250794668,352        pp,3.76,68,"Jun 11, 2024","Jun 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Paperback,view,/book/show/61884778-cuckoo
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Letter to My Daughter,"Angelou, Maya",1400066123,9781400066124,1400066123,192        pp,4.09,"31,047",1987,"Sep 23, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Hardcover,view,/book/show/4016515-letter-to-my-daughter
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House Is on Fire,"Beanland, Rachel*",1982186143,9781982186142,1982186143,376        pp,4.11,"15,492","Apr 04, 2023","Apr 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Hardcover,view,/book/show/61273814-the-house-is-on-fire
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Midnight in Chernobyl: The Untold Story of the World's Greatest Nuclear Disaster,"Higginbotham, Adam*",1501134612,9781501134616,1501134612,538        pp,4.37,"49,778","Feb 12, 2019","Feb 12, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/40538681-midnight-in-chernobyl
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dear Senthuran: A Black Spirit Memoir,"Emezi, Akwaeke*",0593329198,9780593329191,0593329198,240        pp,4.31,"3,735","Jun 08, 2021","Jun 08, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Hardcover,view,/book/show/55877915-dear-senthuran
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,You Made a Fool of Death with Your Beauty,"Emezi, Akwaeke*",1982188707,9781982188702,1982188707,288        pp,3.56,"46,048","May 24, 2022","May 24, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Hardcover,view,/book/show/59232998-you-made-a-fool-of-death-with-your-beauty
