,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Lynsi's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Growing Great Employees: Turning Ordinary People into Extraordinary Performers,"Andersen, Erika*",1591841518,9781591841517,1591841518,288        pp,4.00,"5,131",2006,"Dec 28, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 11, 2024",not set,"Apr 11, 2024",,Hardcover,view,/book/show/380444.Growing_Great_Employees
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Perfect Marriage,"Rose, Jeneva*",1913419657,9781913419653,1913419657,342        pp,3.97,"663,970","Jul 03, 2020","Jul 13, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Paperback,view,/book/show/53450790-the-perfect-marriage
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"XOXO, Cody: An Opinionated Homosexual's Guide to Self-Love, Relationships, and Tactful Pettiness","Rigsby, Cody",0593722531,9780593722534,0593722531,240        pp,4.07,"12,352","Sep 12, 2023","Sep 12, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 07, 2024","Apr 08, 2024","Apr 07, 2024",,Hardcover,view,/book/show/123226898-xoxo-cody
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Is Everyone Hanging Out Without Me?,"Kaling, Mindy*",0307886263,9780307886262,0307886263,222        pp,3.86,"496,438","Nov 01, 2011","Nov 01, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 07, 2024","Apr 07, 2024","Apr 07, 2024",,Hardcover,view,/book/show/10335308-is-everyone-hanging-out-without-me
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Objectives and Key Results: Driving Focus, Alignment, and Engagement with OKRs","Niven, Paul R.*",1119252393,9781119252399,1119252393,224        pp,3.91,369,"Sep 06, 2016","Sep 06, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Hardcover,view,/book/show/29663152-objectives-and-key-results
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dark Matter,"Crouch, Blake*",1101904224,9781101904220,1101904224,352        pp,4.13,"500,011","Jul 26, 2016","Jul 26, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2024",,Hardcover,view,/book/show/27833670-dark-matter
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Woman in Me,"Spears, Britney",1668009048,9781668009048,1668009048,288        pp,3.91,"383,714","Oct 24, 2023","Oct 24, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 30, 2024","Mar 30, 2024","Mar 30, 2024",,Hardcover,view,/book/show/63133205-the-woman-in-me
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Boys & Sex: Young Men on Hookups, Love, Porn, Consent, and Navigating the New Masculinity","Orenstein, Peggy",0062666975,9780062666970,0062666975,293        pp,4.24,"5,955","Jan 21, 2020","Jan 07, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I wish I would have read this going into college. This book surprised me and made me more compassionate for men. I would be curious for the author to I wish I would have read this going into college. This book surprised me and made me more compassionate for men. I would be curious for the author to write an update in 10 years and see how things have progressed. ...more,Notes are private!,0,3,1,"Mar 21, 2024","Mar 24, 2024","Mar 21, 2024",,Hardcover,view (with text),/book/show/45730106-boys-sex
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House of Eve,"Johnson, Sadeqa*",1982197366,9781982197360,1982197366,384        pp,4.26,"75,111","Feb 07, 2023","Feb 07, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The author’s note made this book. Ended in a way I didn’t expect but felt satisfied as the author tied it back to her own story. So many interesting tThe author’s note made this book. Ended in a way I didn’t expect but felt satisfied as the author tied it back to her own story. So many interesting themes interwoven here: race, sex, class, women’s education. Not a wonder why Reece added it to her Bookclub....more",Notes are private!,0,1,1,"Mar 17, 2024","Mar 21, 2024","Mar 17, 2024",,Hardcover,view (with text),/book/show/61273858-the-house-of-eve
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Court of Mist and Fury        (A Court of Thorns and Roses, #2)","Maas, Sarah J.*",1635575583,9781635575583,,626        pp,4.65,"1,866,389","May 03, 2016","Jun 02, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 17, 2024",not set,"Mar 17, 2024",,Paperback,view,/book/show/50659468-a-court-of-mist-and-fury
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Demon Copperhead,"Kingsolver, Barbara",,,,560        pp,4.51,"397,946","Oct 18, 2022","Oct 18, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Hardcover,view,/book/show/60194162-demon-copperhead
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Club,"Lloyd, Ellery*",,,,320        pp,3.30,"100,377","Mar 01, 2022","Mar 01, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Soooo twisty. Kept me listening.,Notes are private!,0,0,1,"Mar 15, 2024","Mar 17, 2024","Mar 15, 2024",,Hardcover,view (with text),/book/show/58536005-the-club
