,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Charlie 's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Normal People,"Rooney, Sally*",1984822179,9781984822178,1984822179,273        pp,3.81,"1,385,447","Aug 28, 2018","Apr 16, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It was good. I guess it kind of dragged for me. And I guess they’re normal. I liked Connell, Marianne just seemed like too much of a victim for me.",Notes are private!,0,1,1,"Mar 02, 2024","Mar 02, 2024","Mar 02, 2024",,Hardcover,view (with text),/book/show/41057294-normal-people
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Cabin at the End of the World,"Tremblay, Paul*",0062679104,9780062679109,0062679104,272        pp,3.32,"78,481","Jun 26, 2018","Jun 26, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A very creepy, scary, good book. Not for the weak of heart.",Notes are private!,0,2,1,"Feb 18, 2024","Feb 24, 2024","Feb 24, 2024",,Hardcover,view (with text),/book/show/36381091-the-cabin-at-the-end-of-the-world
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Serpent's Tooth        (Walt Longmire, #9)","Johnson, Craig",067002645X,9780670026456,067002645X,335        pp,4.30,"14,799","Jun 04, 2013","Jun 04, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I liked it but not as much as the one prior, which I remember being my favorite in the series to date. The whole story just seemed a little…contrived.I liked it but not as much as the one prior, which I remember being my favorite in the series to date. The whole story just seemed a little…contrived. I liked the deepening relationship between Walt and Vic, and Standing Bear is always a favorite, but the whole storyline was just not that interesting to me and not really much of a mystery. Kind of surprised it got above four stars but oh well. I’ll keep reading the series but may put some distance between me so as to let this memory of this one fade a little. ...more",Notes are private!,0,0,1,not set,"Feb 17, 2024","Feb 17, 2024",,Hardcover,view (with text),/book/show/16158552-a-serpent-s-tooth
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Damascus Station        (Damascus Station #1),"McCloskey, David",0393881040,9780393881042,0393881040,432        pp,4.23,"8,676","Oct 05, 2021","Oct 05, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Feb 11, 2024","Feb 11, 2024",,Hardcover,view,/book/show/56769571-damascus-station
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pineapple Street,"Jackson, Jenny*",059349069X,9780593490693,059349069X,304        pp,3.58,"153,194","Mar 07, 2023","Mar 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Hardcover,view,/book/show/61246258-pineapple-street
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"There Will Be Fire: Margaret Thatcher, the IRA, and Two Minutes That Changed History","Carroll, Rory",0593419499,9780593419496,0593419499,397        pp,4.37,"3,697","Apr 04, 2023","Apr 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Hardcover,view,/book/show/61420116-there-will-be-fire
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Charlie: Wisdom from the Remarkable American Life of a 109-Year-Old Man,"Drehle, David von",1476773920,9781476773926,1476773920,194        pp,4.01,"7,113","May 23, 2023","May 23, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Hardcover,view,/book/show/62918681-the-book-of-charlie
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Build the Life You Want: The Art and Science of Getting Happier,"Brooks, Arthur C.",0593545400,9780593545409,0593545400,272        pp,3.81,"7,066",unknown,"Sep 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Hardcover,view,/book/show/137978862-build-the-life-you-want
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Good Life: Lessons from the World's Longest Scientific Study of Happiness,"Waldinger, Robert",,,,352        pp,4.16,"7,396","Jan 10, 2023","Jan 10, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Hardcover,view,/book/show/61273746-the-good-life
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Trail of the Lost: The Relentless Search to Bring Home the Missing Hikers of the Pacific Crest Trail,"Lankford, Andrea*",0306831953,9780306831959,0306831953,352        pp,3.79,"7,225","Aug 22, 2023","Aug 22, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Hardcover,view,/book/show/64000414-trail-of-the-lost
