,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,YoSafBridg's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Radium Girls: The Dark Story of America’s Shining Women,"Moore, Kate*",149264935X,9781492649359,149264935X,479        pp,4.15,"146,975",Jun 2016,"May 02, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Mar 16, 2024","Apr 11, 2024",,Hardcover,view,/book/show/31409135-the-radium-girls
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"We Set the Dark on Fire        (We Set the Dark on Fire, #1)","Mejia, Tehlor Kay*",0062691333,9780062691330,,384        pp,3.76,"18,831","Feb 26, 2019","Feb 26, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Mar 23, 2024","Apr 11, 2024",,ebook,view,/book/show/37868569-we-set-the-dark-on-fire
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Days of Café Leila,"Bijan, Donia*",1616205857,9781616205850,1616205857,304        pp,3.95,"3,615","Apr 18, 2017","Apr 18, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Mar 27, 2024","Apr 11, 2024",,Hardcover,view,/book/show/30753991-the-last-days-of-caf-leila
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Salad Seasons: Vegetable-Forward Dishes All Year,"Prakash, Sheela",0847899268,9780847899265,0847899268,208        pp,3.76,21,unknown,"Apr 25, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 11, 2024","Apr 11, 2024","Apr 11, 2024",,Hardcover,view,/book/show/61828528-salad-seasons
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Plenty,"Ottolenghi, Yotam*",0091933684,9780091933685,0091933684,288        pp,4.13,"23,975","May 01, 2010","May 01, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Hardcover,view,/book/show/8086216-plenty
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Plenty More: Vibrant Vegetable Cooking from London's Ottolenghi,"Ottolenghi, Yotam*",1607746212,9781607746218,1607746212,352        pp,3.92,"11,082",2014,"Oct 14, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Hardcover,view,/book/show/20691056-plenty-more
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A House of My Own: Stories from My Life,"Cisneros, Sandra",038535133X,9780385351331,038535133X,400        pp,4.30,"1,762","Oct 06, 2015","Oct 06, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Hardcover,view,/book/show/25614824-a-house-of-my-own
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Wicked Wicked Ways: Poems,"Cisneros, Sandra",0679418210,9780679418214,0679418210,128        pp,4.17,"1,929","Nov 01, 1987","Nov 17, 1992",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Hardcover,view,/book/show/32959.My_Wicked_Wicked_Ways
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Woman Hollering Creek and Other Stories,"Cisneros, Sandra",0679738568,9780679738565,0679738568,192        pp,4.05,"10,649","Apr 03, 1991","Mar 03, 1992",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Paperback,view,/book/show/30861.Woman_Hollering_Creek_and_Other_Stories
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Caramelo,"Cisneros, Sandra",0679742581,9780679742586,0679742581,441        pp,3.93,"12,494","Sep 24, 2002","Sep 09, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2024",,Paperback,view,/book/show/32957.Caramelo
