,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Ashley's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Reading List,"Adams, Sara Nisha*",,,,430        pp,4.08,"101,463","Jul 22, 2021","Jul 22, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Kindle Edition,view,/book/show/58511738-the-reading-list
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hannah Coulter,"Berry, Wendell",1593760361,9781593760366,1593760361,208        pp,4.38,"17,143",2004,"Sep 27, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2024",,Hardcover,view,/book/show/1047285.Hannah_Coulter
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bite by Bite: Nourishments and Jamborees,"Nezhukumatathil, Aimee*",0063282267,9780063282261,0063282267,224        pp,4.64,39,"May 07, 2024","Apr 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Hardcover,view,/book/show/195853505-bite-by-bite
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Byron: Poems,"Byron, Lord",0679436308,9780679436300,0679436308,288        pp,4.03,239,unknown,"Oct 18, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Hardcover,view,/book/show/119236.Byron
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sylvia's Lovers,"Gaskell, Elizabeth",0199656738,9780199656738,0199656738,576        pp,3.76,"4,385",Apr 1863,"Sep 12, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Paperback,view,/book/show/17624185-sylvia-s-lovers
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Sparrow        (The Sparrow, #1)","Russell, Mary Doria*",0679451501,9780679451501,0679451501,408        pp,4.14,"75,546","Sep 09, 1996","Sep 09, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Hardcover,view,/book/show/896841.The_Sparrow
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Stone Diaries,"Shields, Carol",014023313X,9780140233131,014023313X,361        pp,3.89,"40,330",1993,"Apr 01, 1995",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Paperback,view,/book/show/77554.The_Stone_Diaries
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stranger in a Strange Land,"Heinlein, Robert A.",,,,525        pp,3.92,"312,651",Jul 1961,"Oct 01, 1991",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Paperback,view,/book/show/350.Stranger_in_a_Strange_Land
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Canticle for Leibowitz,"Miller Jr., Walter M.",0553273817,9780553273816,0553273817,338        pp,3.98,"109,552",Oct 1959,Apr 2007,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Mass Market Paperback,view,/book/show/258922.A_Canticle_for_Leibowitz
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Marriage Question: George Eliot's Double Life,"Carlisle, Clare",0374600457,9780374600457,0374600457,400        pp,4.13,214,unknown,"Aug 15, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Hardcover,view,/book/show/62039167-the-marriage-question
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wordslut: A Feminist Guide to Taking Back the English Language,"Montell, Amanda*",006286887X,9780062868879,006286887X,304        pp,4.31,"16,460","May 28, 2019","May 28, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Hardcover,view,/book/show/41716694-wordslut
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cultish: The Language of Fanaticism,"Montell, Amanda*",0062993151,9780062993151,0062993151,309        pp,3.87,"79,203","Jun 15, 2021","Jun 15, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Hardcover,view,/book/show/55338982-cultish
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Venomous Lumpsucker,"Beauman, Ned",1641294124,9781641294126,1641294124,336        pp,3.84,"4,030","Jul 12, 2022","Jul 12, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/59593576-venomous-lumpsucker
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Demon Copperhead,"Kingsolver, Barbara",,,,560        pp,4.51,"397,605","Oct 18, 2022","Oct 18, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/60194162-demon-copperhead
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Prophet Song,"Lynch, Paul*",,,B0C5Y3JG4S,259        pp,4.15,"26,477","Aug 24, 2023","Aug 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Kindle Edition,view,/book/show/158875813-prophet-song
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Time Machine,"Wells, H.G.",0809596431,9780809596430,0809596431,124        pp,3.90,"519,041",1895,"Jan 01, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/441278.The_Time_Machine
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Penguin Book of Korean Short Stories,"Fulton, Bruce",0241448484,9780241448489,0241448484,512        pp,3.87,38,"Apr 27, 2023","Apr 27, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/56587384-the-penguin-book-of-korean-short-stories
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Masters of Atlantis,"Portis, Charles",1585670219,9781585670215,1585670219,248        pp,3.72,"2,815",1985,"Mar 01, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Paperback,view,/book/show/52290.Masters_of_Atlantis
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Norwood,"Portis, Charles",0879517034,9780879517038,0879517034,190        pp,3.86,"3,970",1966,"Aug 01, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Paperback,view,/book/show/48287.Norwood
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dog of the South,"Portis, Charles",0879519312,9780879519315,B000LMPLA6,246        pp,3.82,"6,469",1979,"Apr 01, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Paperback,view,/book/show/938212.The_Dog_of_the_South
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Snow Country,"Kawabata, Yasunari",0679761047,9780679761044,0679761047,175        pp,3.59,"33,173",1948,1996,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Paperback,view,/book/show/14028.Snow_Country
