,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Karen (idleutopia_reads)'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to End a Love Story,"Kuang, Yulin*",0063310686,9780063310681,0063310686,384        pp,4.17,"1,311","Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Paperback,view,/book/show/63247365-how-to-end-a-love-story
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,People Who Eat Darkness: The True Story of a Young Woman Who Vanished from the Streets of Tokyo—and the Evil That Swallowed Her Up,"Lloyd Parry, Richard*",,,B007RMYAPA,465        pp,3.78,"21,969","Dec 28, 2010","May 22, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Kindle Edition,view,/book/show/18877989-people-who-eat-darkness
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tree of Life: A Novel of the Caribbean,"Condé, Maryse",0345360745,9780345360748,0345360745,371        pp,3.73,165,1987,"Sep 01, 1992",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Hardcover,view,/book/show/1294334.Tree_of_Life
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Interior Chinatown,"Yu, Charles*",,,0307907198,288        pp,3.97,"58,319","Jan 28, 2020","Jan 28, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/44436221-interior-chinatown
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Victim,"Boryga, Andrew",0385549970,9780385549974,0385549970,288        pp,4.06,349,"Mar 12, 2024","Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2024",,Hardcover,view,/book/show/177185976-victim
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Welcome to the Monkey House,"Vonnegut, Kurt, Jr.",0385333501,9780385333504,0385333501,331        pp,4.13,"60,836",Aug 1968,2013,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Paperback,view,/book/show/4985.Welcome_to_the_Monkey_House
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hombrecito,"Sanchez, Santiago Jose",0593542185,9780593542187,0593542185,336        pp,4.70,10,unknown,"Jun 25, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Hardcover,view,/book/show/200555888-hombrecito
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Tyranny of Flies,"Madruga, Elaine Vilar*",0063330733,9780063330733,0063330733,256        pp,3.87,"1,138",2021,"Jun 25, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Paperback,view,/book/show/199865473-the-tyranny-of-flies
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sacrifices: Stories,"Blanco Calderón, Rodrigo*",1644211742,9781644211748,1644211742,128        pp,3.29,52,2018,"Sep 13, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Paperback,view,/book/show/59748353-sacrifices
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Night,"Blanco Calderón, Rodrigo*",,9781644210406,1644210401,352        pp,3.40,301,2016,"Nov 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Paperback,view,/book/show/58943326-the-night
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Simpatía,"Blanco Calderón, Rodrigo*",1644213656,9781644213650,1644213656,240        pp,3.60,167,2020,"Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Paperback,view,/book/show/173475915-simpat-a
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Un lugar soleado para gente sombría,"Enríquez, Mariana",8433922866,9788433922861,8433922866,232        pp,3.92,"1,521",2024,"Mar 06, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.5 stars! I love her so much, legit she’s amazing.",Notes are private!,0,0,1,"Mar 09, 2024","Mar 14, 2024","Mar 09, 2024",,Paperback,view (with text),/book/show/206801768-un-lugar-soleado-para-gente-sombr-a
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Divided Island,"Tarazona, Daniela",164605329X,9781646053292,B0C7FL3PPW,157        pp,3.34,163,2021,"Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 09, 2024",,Kindle Edition,view,/book/show/175403649-divided-island
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Banal Nightmare,"Butler, Halle*",0593730356,9780593730355,0593730356,336        pp,3.84,44,"Jul 16, 2024","Jul 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/199927666-banal-nightmare
