,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Shan's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Exhibition of Persephone Q,"Stevens, Jessi Jezewska*",0374150923,9780374150921,0374150923,224        pp,3.41,630,"Mar 03, 2020","Mar 03, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 25, 2022",not set,"Jul 25, 2022",,Hardcover,view,/book/show/45892266-the-exhibition-of-persephone-q
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Doloriad,"Williams, Missouri*",0374605084,9780374605087,0374605084,240        pp,3.16,"2,481","Mar 01, 2022","Mar 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 13, 2022",,Paperback,view,/book/show/57845084-the-doloriad
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Queen of the Tambourine,"Gardam, Jane",0349102260,9780349102269,0349102260,226        pp,3.59,"1,611",1991,"Jan 01, 1992",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 13, 2022",,Paperback,view,/book/show/268104.The_Queen_of_the_Tambourine
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Future Library,"Shepherd, Peng*",1250828678,9781250828675,,32        pp,4.11,"1,286","Aug 18, 2021","Aug 18, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 02, 2022",,ebook,view,/book/show/58578776-the-future-library
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Cartographers,"Shepherd, Peng*",0062910698,9780062910691,0062910698,392        pp,3.64,"65,178","Mar 15, 2022","Mar 15, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,not set,"Feb 02, 2022",,Hardcover,view,/book/show/55004093-the-cartographers
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Conversations with Friends,"Rooney, Sally*",0451499077,,B01M6XMA62,304        pp,3.76,"474,095","May 25, 2017","Jul 11, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 17, 2021",,Kindle Edition,view,/book/show/32187419-conversations-with-friends
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Act Your Age, Eve Brown        (The Brown Sisters, #3)","Hibbert, Talia*",0062941283,9780062941282,,400        pp,4.11,"88,133","Mar 09, 2021","Mar 09, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 17, 2021",,ebook,view,/book/show/51824384-act-your-age-eve-brown
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Quantum Roots        (Quantum Roots, #1)","Keyes, Kyle*",1478392673,9781478392675,1478392673,262        pp,4.27,"3,181","Aug 01, 2012",Aug 2012,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 31, 2021",,Paperback,view,/book/show/18334354-quantum-roots
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"To Sleep in a Sea of Stars        (Fractalverse, #1)","Paolini, Christopher*",1250762847,9781250762849,1250762847,880        pp,3.79,"58,334","Sep 15, 2020","Sep 15, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 16, 2021",,Hardcover,view,/book/show/48829708-to-sleep-in-a-sea-of-stars
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ace of Spades,"Àbíké-Íyímídé, Faridah*",1474967531,9781474967532,1474967531,470        pp,4.17,"83,322","Jun 01, 2021","Jun 10, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 17, 2021","Nov 18, 2021","Jul 16, 2021",,Paperback,view,/book/show/42603984-ace-of-spades
