,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Hannah's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No Two Persons,"Bauermeister, Erica*",1250284376,9781250284372,1250284376,314        pp,4.11,"17,648","May 02, 2023","May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2024",,Hardcover,view,/book/show/60196684-no-two-persons
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Have Some Questions for You,"Makkai, Rebecca*",0593490142,9780593490143,0593490142,438        pp,3.62,"101,886","Feb 21, 2023","Feb 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 04, 2024",not set,"Apr 04, 2024",,Hardcover,view,/book/show/61053829-i-have-some-questions-for-you
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Kamogawa Food Detectives        (Kamogawa Food Detectives, #1)","Kashiwai, Hisashi",0593717716,9780593717714,0593717716,201        pp,3.70,"10,195","Nov 25, 2013","Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 04, 2024",,Hardcover,view,/book/show/154488299-the-kamogawa-food-detectives
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sociopath,"Gagne, Patric",166800318X,9781668003183,166800318X,368        pp,4.14,881,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Hardcover,view,/book/show/176443093-sociopath
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wager: A Tale of Shipwreck, Mutiny and Murder","Grann, David*",0385534264,9780385534260,0385534264,354        pp,4.21,"96,450","Apr 18, 2023","Apr 18, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book is by the same author as Killers of the Flower Moon so I had high hopes but this book wasn’t for me. I didn’t like any of the characters andThis book is by the same author as Killers of the Flower Moon so I had high hopes but this book wasn’t for me. I didn’t like any of the characters and there was very little mystery to keep me engaged. I think the draw was the perilous conditions the crew had both at sea and on land, but it was hard to picture. I don’t know if I’ve ever said this before but I think this would be better as a movie. Ironic, because I really disliked the Killers of the Flower Moon movie!...more",Notes are private!,0,8,1,"Mar 18, 2024","Apr 03, 2024","Mar 18, 2024",,Hardcover,view (with text),/book/show/61714633-the-wager
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Not Drinking Tonight: A Guide to Creating a Sober Life You Love,"White, Amanda E.",1549136348,9781549136344,,unknown,4.25,"1,026",unknown,"Jan 04, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Audiobook,view,/book/show/57577289-not-drinking-tonight
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Women,"Hannah, Kristin*",1250178630,9781250178633,,480        pp,4.69,"225,216","Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 28, 2024",,Hardcover,view,/book/show/127305853-the-women
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Modern Love: True Stories of Love, Loss, and Redemption","Jones, Daniel*",0593137043,9780593137048,0593137043,304        pp,4.21,"12,012","Sep 03, 2019","Sep 03, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5, I think I would rate it higher if I didn’t recently read Tiny Beautiful Things and Everything I Know About Love, which I liked more. That being s3.5, I think I would rate it higher if I didn’t recently read Tiny Beautiful Things and Everything I Know About Love, which I liked more. That being said, the stories were beautiful, sad, and touched on all types of love. “As the van sailed north on the FDR Drive, I thought the bright lights of the big city never looked quite so intoxicating as when you were leaving” <3“I will tell my kids to settle for nothing less than what they saw when they looked at me, looking at him”“That’s probably the beginning of love: when you see someone in a way that completely defies reality, but that makes perfect sense to you”“Though we were still ultracompetitive, we were becoming intensely proud when the other hit an amazing shot, and we didn’t hate the winner when we lost. We still played to win, but now we could feel joy for the other”...more",Notes are private!,1,2,1,"Mar 11, 2024","Mar 13, 2024","Feb 27, 2024",,Paperback,view (with text),/book/show/45697243-modern-love
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wellness,"Hill, Nathan",0593536118,9780593536117,0593536118,607        pp,4.01,"33,117","Sep 26, 2023","Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 16, 2024",,Hardcover,view,/book/show/65650229-wellness
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Travelers,"Habila, Helon",0393239594,9780393239591,0393239594,288        pp,4.10,"1,100","Jun 18, 2019","Jun 18, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 09, 2024",,Hardcover,view,/book/show/41817480-travelers
