,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Martyna (Książki na fali)'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Piąta pora roku,"Smith, Ali",8383190883,9788383190884,8383190883,240        pp,3.83,"5,854","Apr 07, 2022","Apr 10, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 29, 2024",not set,"Mar 29, 2024",,Hardcover,view,/book/show/205324007-pi-ta-pora-roku
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pani Wiatru,"Lunde, Maja",8308083897,9788308083895,8308083897,192        pp,4.48,75,"Sep 21, 2023","Apr 24, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Hardcover,view,/book/show/209391887-pani-wiatru
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ja, która nie poznałam mężczyzn","Harpman, Jacqueline",8367515684,9788367515689,8367515684,180        pp,4.24,"50,718",1995,"Mar 06, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 22, 2024","Apr 07, 2024","Mar 22, 2024",,Hardcover,view,/book/show/203167748-ja-kt-ra-nie-pozna-am-m-czyzn
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Aveline Jones i duch z Malmouth        (Aveline Jones, #1)","Hickes, Phil*",,9788383215419,,224        pp,4.14,"4,297","Sep 17, 2020","Sep 06, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 22, 2024","Apr 07, 2024","Mar 22, 2024",,Paperback,view,/book/show/198792520-aveline-jones-i-duch-z-malmouth
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ciężar skóry,"Rejmer, Małgorzata",8308083269,9788308083260,8308083269,208        pp,3.84,350,"Nov 08, 2023","Nov 08, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 05, 2024","Mar 18, 2024","Mar 22, 2024",,Hardcover,view,/book/show/199014806-ci-ar-sk-ry
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Oczy uroczne        (Dożywocie, #3)","Kisiel, Marta",,9788367690553,,336        pp,4.04,921,"Mar 11, 2019","Nov 15, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 10, 2024","Mar 17, 2024","Mar 22, 2024",,Paperback,view,/book/show/201947890-oczy-uroczne
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Siła niższa        (Dożywocie, #2)","Kisiel, Marta",,9788367690201,,288        pp,4.28,"1,259","Oct 12, 2016","Jul 12, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Feb 2024,"Feb 07, 2024","Mar 22, 2024",,Paperback,view,/book/show/196645617-si-a-ni-sza
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Galeria Snów DallerGuta,"Lee, Mi Ye",8383218222,9788383218229,8383218222,272        pp,3.85,"5,137","Apr 21, 2020","Mar 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2024",,Paperback,view,/book/show/205215237-galeria-sn-w-dallerguta
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"O wiadukcie kolejowym, który chciał zostać mostem nad rzeką, i inne bajki","Oziewicz, Tina",8381505100,9788381505109,8381505100,120        pp,3.00,1,unknown,Mar 2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Hardcover,view,/book/show/208821231-o-wiadukcie-kolejowym-kt-ry-chcia-zosta-mostem-nad-rzek-i-inne-bajk
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Czujemisie,"Królak, Agata",838150001X,9788381500012,838150001X,30        pp,3.85,13,Sep 2018,Sep 2018,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2024",,Board book,view,/book/show/43069238-czujemisie
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Trzymaj mnie mocno,"Chapman, Jane",838073758X,9788380737587,838073758X,32        pp,3.96,257,2018,2018,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2024",,Hardcover,view,/book/show/41741672-trzymaj-mnie-mocno
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Żegnaj, niedźwiadku","Chapman, Jane",8328090848,9788328090842,8328090848,28        pp,4.32,106,2021,"Mar 09, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2024",,Hardcover,view,/book/show/60653282-egnaj-nied-wiadku
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A królik sluchał,"Doerrfeld, Cori",8365796864,9788365796868,8365796864,40        pp,4.59,"7,391","Feb 20, 2018","Jul 04, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2024",,Hardcover,view,/book/show/43724792-a-kr-lik-slucha
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Feluś i Gucio poznają emocje,"Kozłowska, Katarzyna",831013570X,9788310135704,831013570X,40        pp,4.50,2,unknown,"Jan 01, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2024",,Hardcover,view,/book/show/99329553-felu-i-gucio-poznaj-emocje
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Na językach zwierząt. Historyjki logopedyczne,"Skiba, Anna",8366329909,9788366329904,8366329909,40        pp,0.00,0,"Sep 29, 2021","Sep 29, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2024",,Hardcover,view,/book/show/58523258-na-j-zykach-zwierz-t-historyjki-logopedyczne
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Nawet nie wiesz, jak bardzo cię kocham","McBratney, Sam",8323714355,9788323714354,8323714355,26        pp,4.39,"141,992",1988,2002,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2024",,Hardcover,view,/book/show/25051455-nawet-nie-wiesz-jak-bardzo-ci-kocham
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Serce w butelce,"Jeffers, Oliver*",839589595X,9788395895951,839589595X,32        pp,4.39,"6,321","Mar 04, 2010","May 24, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2024",,Hardcover,view,/book/show/57762839-serce-w-butelce
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Miłość,"Desbordes, Astrid",8363156167,9788363156169,8363156167,42        pp,4.48,318,May 2016,2016,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2024",,Hardcover,view,/book/show/37646243-mi-o
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kiedy nadchodzi smutek,"Eland, Eva",8366329534,9788366329539,8366329534,32        pp,4.39,"2,813",Oct 2018,"Dec 10, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2024",,Hardcover,view,/book/show/50715796-kiedy-nadchodzi-smutek
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Oczy, nosy, usta, brwi","Nishi, Kanako",8395921667,9788395921667,8395921667,208        pp,4.10,134,2012,"Jan 29, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 31, 2024",,Paperback,view,/book/show/204835552-oczy-nosy-usta-brwi
